<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201211,9.6,9.7,9.4,9.6,417050
ACM,20201211,0.7,0.8,0.7,0.8,255100
ADC,20201211,16.4,19.6,16.4,18.2,1200
AMV,20201211,16.9,17,16.6,16.9,318820
API,20201211,9.5,9.5,9,9.2,1200
APP,20201211,3.6,3.6,3.6,3.6,300
APS,20201211,3.6,3.7,3.4,3.6,131600
ART,20201211,2.6,2.7,2.5,2.6,1444830
BAX,20201211,69.5,69.5,68,69.4,13800
BCC,20201211,7.6,7.7,7.5,7.7,314388
BCF,20201211,41.5,41.5,41.3,41.3,300
BII,20201211,1.4,1.5,1.4,1.5,985501
BKC,20201211,5.6,5.6,5.6,5.6,100
BNA,20201211,32.8,35.6,32.8,33.5,333315
BST,20201211,14.7,14.7,14.7,14.7,200
BTS,20201211,4.4,4.5,4.4,4.5,3317
BVS,20201211,12.8,13.4,12.7,13.4,864090
C69,20201211,7.4,7.6,7.4,7.6,52350
C92,20201211,3.3,3.4,3.2,3.4,1200
CAN,20201211,25.6,25.6,25.6,25.6,200
CAP,20201211,37.6,37.7,37.3,37.3,2678
CEO,20201211,8.3,8.4,8.2,8.3,2207079
CET,20201211,2.5,2.7,2.5,2.6,368200
CIA,20201211,14.4,14.9,14,14.4,62735
CLH,20201211,21.1,21.1,20.3,20.3,19100
CMC,20201211,5.3,5.3,5.3,5.3,400
CMS,20201211,2.6,2.7,2.6,2.7,900
CSC,20201211,20.4,20.9,20.3,20.9,2600
CTP,20201211,3.4,3.4,3.3,3.3,21200
CVN,20201211,10.7,10.7,10.2,10.5,222745
D11,20201211,26.9,26.9,26.9,26.9,110
DAD,20201211,16.6,16.6,16.6,16.6,2300
DDG,20201211,28.4,28.5,28,28.2,116710
DHP,20201211,9.6,9.6,9.6,9.6,3800
DHT,20201211,55.1,55.4,53.9,55.2,17900
DNC,20201211,50,50,50,50,1700
DNM,20201211,41.5,42,41,41,13033
DNP,20201211,17,17.7,17,17.7,2759
DP3,20201211,82.5,83,82.5,83,1263
DS3,20201211,4,4,3.9,4,11800
DST,20201211,2.5,2.7,2.5,2.5,499400
DTD,20201211,26.5,26.8,26.2,26.8,107772
DXP,20201211,15.9,16.3,15.7,16,351228
DZM,20201211,3.2,3.3,3.2,3.3,23400
EBS,20201211,8.4,8.4,8.1,8.1,1600
EID,20201211,14,14.3,13.9,13.9,600
FID,20201211,1,1,0.9,1,100900
GIC,20201211,19,19,18.8,19,10500
GKM,20201211,16.4,16.4,16.4,16.4,220300
GLT,20201211,18.8,19.3,18.5,19,6040
GMA,20201211,31.3,31.3,31.3,31.3,400
GMX,20201211,25.1,25.1,25.1,25.1,500
HAD,20201211,16.6,17.4,16.6,17.4,11320
HAT,20201211,23.5,23.5,23.2,23.5,4500
HBS,20201211,3.3,3.4,2.8,2.9,99500
HCC,20201211,9.7,10,9.7,10,57700
HCT,20201211,10,10,10,10,1020
HDA,20201211,8.5,8.5,8.3,8.4,38900
HHC,20201211,85,94.6,85,94.6,1700
HHG,20201211,1.3,1.3,1.2,1.2,93356
