<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20201211,6.5,6.5,6.5,6.5,130
VSI,20201211,17,17,16.7,16.7,20
VTB,20201211,11,11,10.6,10.8,20840
VTO,20201211,7.44,7.45,7.44,7.45,5660
YBM,20201211,5.25,5.25,5.06,5.12,15970
YEG,20201211,45.5,45.7,44.7,44.7,20590
VND,20201211,19.6,20.5,19.4,20.4,2487620
VNE,20201211,4.81,4.82,4.79,4.82,245290
VNG,20201211,14.95,14.95,14.7,14.75,200690
VNL,20201211,16.8,16.8,16.5,16.8,3210
VNM,20201211,112,112.8,111.8,112.6,2297940
VNS,20201211,10.95,10.95,10.95,10.95,430
VOS,20201211,2.2,2.3,2.08,2.24,1901290
VPB,20201211,28.15,28.3,27.8,28.3,4421030
VPD,20201211,14.45,14.45,14.3,14.3,9760
VPG,20201211,15.45,15.75,15.1,15.5,542370
VPH,20201211,4.36,4.45,4.36,4.4,86850
VPI,20201211,33.15,33.2,33.1,33.15,707240
VPS,20201211,12.9,13.5,12.4,13,16970
VRC,20201211,7.39,7.39,7.25,7.25,324410
VRE,20201211,28.2,28.6,28.1,28.6,4662730
VSC,20201211,52.7,53.5,51.9,53,143200
VSH,20201211,18.7,18.8,18.65,18.75,47520
VDP,20201211,32.45,32.45,31.5,32.3,5030
VDS,20201211,9.4,9.93,9.4,9.5,4240
VGC,20201211,25.75,25.75,25.15,25.6,197790
VHC,20201211,45.4,45.4,44.85,45.15,643110
VHM,20201211,83.6,85,83.4,85,2406180
VIB,20201211,31.7,32.5,31.4,32.1,968860
VIC,20201211,104.9,106.8,104.9,106.8,569360
VID,20201211,8.85,9.9,8.85,9.88,49140
VIP,20201211,7.67,7.75,7.55,7.67,279960
VIS,20201211,16.8,18,16.8,17.85,3550
VJC,20201211,119.8,122.2,119.7,122.2,721710
VMD,20201211,21.1,21.95,21.1,21.95,530
TS4,20201211,3.55,3.55,3.43,3.53,10420
TSC,20201211,2.99,3.04,2.93,3.02,1012650
TTA,20201211,16.6,17.3,16.55,17.2,2234080
TTB,20201211,4.34,4.4,4.33,4.34,572090
TTF,20201211,5.67,5.69,5.62,5.63,2453380
TV2,20201211,51,53,50.9,53,495530
TVB,20201211,11.6,12.2,11.45,12.1,335460
TVS,20201211,11.6,12,11.5,12,38920
TVT,20201211,22.15,25.4,22.15,24,180
TYA,20201211,14.15,14.5,14.15,14.45,49150
UDC,20201211,5.3,5.3,5.15,5.29,5160
UIC,20201211,46.6,47.5,46.6,47.5,3510
VAF,20201211,12.4,12.4,12,12,130
VCB,20201211,97.2,97.3,95.9,97.2,776190
VCF,20201211,232,232,231.5,231.8,210
VCI,20201211,43,43.7,42.75,43.6,801940
TLD,20201211,5.41,5.41,5.34,5.35,389610
TLG,20201211,38.2,39,38.2,38.6,56320
TLH,20201211,6.26,6.27,5.92,6.2,703750
TMP,20201211,42.1,43,42,42.1,860
TMS,20201211,33.5,34.95,32.7,33.4,202530
TMT,20201211,5.85,5.85,5.09,5.5,15190
TN1,20201211,71,71.5,70,71.5,1660
TNA,20201211,13.5,13.5,13.3,13.4,183980
TNC,20201211,31,31,31,31,20
TNI,20201211,2.96,2.96,2.9,2.93,509830
TNT,20201211,1.75,1.78,1.73,1.75,29840
TPB,20201211,22.15,22.35,22.05,22.3,1785650
TPC,20201211,8.47,9,8.47,8.48,1060
TRA,20201211,68,69,68,69,1470
TRC,20201211,36.5,36.5,35.5,35.5,510
TDH,20201211,8.6,8.74,8.45,8.62,2155070
TDM,20201211,26.6,26.9,26.05,26.75,652060
TDP,20201211,35.8,37,35.8,36.55,443800
TDW,20201211,28.8,28.85,26,28.85,110
TEG,20201211,4.75,4.75,4.5,4.65,15210
TGG,20201211,1.02,1.03,1.02,1.03,71970
THG,20201211,55.9,55.9,55,55.5,2950
THI,20201211,27,27,26,26,300
TIP,20201211,34,34.7,33.85,34.5,82020
TIX,20201211,29.2,29.2,29.2,29.2,10
STK,20201211,20.3,20.3,19.5,20.2,41920
SVC,20201211,70.1,70.1,70.1,70.1,50
SVI,20201211,79.4,79.4,76.5,76.5,200
SVT,20201211,12.6,13.4,12.6,13.4,1020
SZC,20201211,28.9,29.1,28.35,28.9,1190660
SZL,20201211,53.3,53.3,53,53.2,43440
TAC,20201211,43.3,43.7,43,43.6,29610
TBC,20201211,24.7,24.7,24.65,24.65,5250
TCB,20201211,25.3,25.65,25.05,25.65,14116670
TCD,20201211,10.6,10.9,10.4,10.5,4660
TCH,20201211,19.2,19.35,18.95,19.15,2133770
TCL,20201211,28,28.3,27.5,28.3,239700
TCM,20201211,43.45,44.1,42.4,44.1,837970
TCO,20201211,10.5,10.5,10.5,10.5,60
TCR,20201211,3.32,3.53,3.32,3.53,70
TCT,20201211,28.8,28.8,28.2,28.3,12570
TDC,20201211,9.47,9.65,9.39,9.61,501730
TDG,20201211,2.49,2.49,2.33,2.39,909740
SPM,20201211,13.45,13.45,12.2,13.2,4760
SRC,20201211,17.8,19,17.8,19,76400
SRF,20201211,13,13.45,12.6,13.2,1420
SSI,20201211,22.8,23.55,22.55,23.55,9023250
ST8,20201211,11,11,10.35,10.35,410
STB,20201211,15.7,15.9,15.5,15.8,15443500
STG,20201211,14.2,14.2,14.2,14.2,500
SGR,20201211,19.8,20.5,19.75,20.5,16980
SGT,20201211,5.64,5.64,5.37,5.39,2430
SHA,20201211,4.21,4.26,4.16,4.26,5860
SHI,20201211,8.9,8.9,8.6,8.75,665280
SHP,20201211,23.1,23.4,23,23.4,1980
SII,20201211,16.65,17.8,15.5,17.5,1470
SJD,20201211,16.85,16.85,16.65,16.75,34820
SJF,20201211,2.15,2.19,2.11,2.14,1535540
