<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201217,12,12.5,11.3,11.7,607116
ACM,20201217,0.9,1,0.8,0.9,2994466
ADC,20201217,19,19,19,19,2200
AMV,20201217,18.1,18.2,17.7,17.9,622660
API,20201217,9.5,9.5,9.5,9.5,2400
APP,20201217,3.4,3.4,3.4,3.4,540
APS,20201217,4.8,4.8,4.4,4.4,797952
ART,20201217,2.8,2.8,2.6,2.7,2146454
BAX,20201217,69.3,75,69.2,75,31400
BCC,20201217,7.6,7.9,7.6,7.8,991561
BCF,20201217,46.5,47,46.5,47,400
BII,20201217,1.8,1.9,1.8,1.9,1947210
BKC,20201217,5.6,5.6,5.1,5.1,410
BNA,20201217,33.5,33.7,33.4,33.6,79000
BPC,20201217,10.3,10.3,10.1,10.1,2600
BTS,20201217,4.5,4.5,4.5,4.5,200
BTW,20201217,29,30,29,29,2000
BVS,20201217,13.8,13.8,13.3,13.4,1245012
C69,20201217,8,8.5,7.8,7.8,118220
CAN,20201217,28.1,28.1,28.1,28.1,300
CAP,20201217,37.7,38,37.6,37.8,13947
CDN,20201217,25,25.9,25,25.7,900
CEO,20201217,8.5,9.3,8.4,9.3,9612930
CET,20201217,3.6,3.6,3.5,3.6,377570
CIA,20201217,14.1,14.4,14,14.4,20752
CKV,20201217,11.7,12.9,11.7,12.9,2500
CLH,20201217,21.3,21.3,20.9,20.9,600
CLM,20201217,25.8,25.8,25.8,25.8,200
CMC,20201217,5.5,5.5,5.5,5.5,100
CMS,20201217,2.6,2.6,2.5,2.6,66420
CPC,20201217,16.7,16.7,15.6,15.6,1115
CSC,20201217,20.8,22.1,20,22.1,21570
CTP,20201217,3.3,3.3,3.2,3.2,49420
CTX,20201217,7,7.2,7,7,12900
CVN,20201217,11.3,11.4,11.2,11.3,231900
D11,20201217,24.1,25.8,23.6,25.8,3300
DAD,20201217,16.5,16.5,16.5,16.5,100
DAE,20201217,15,15,15,15,1200
DC2,20201217,9.6,9.7,9.6,9.7,5300
DDG,20201217,28.5,28.8,28.2,28.2,116600
DHT,20201217,54.9,54.9,53.3,53.5,13650
DIH,20201217,13.2,13.2,11,11.4,1908
DNC,20201217,50,50,50,50,2000
DNM,20201217,41,41.6,40,40.4,21302
DNP,20201217,17.1,17.1,17.1,17.1,1000
DP3,20201217,85,85,85,85,200
DPC,20201217,13.9,13.9,13.9,13.9,100
DS3,20201217,4,4.1,4,4,48200
DST,20201217,2.6,2.6,2.5,2.6,568230
DTD,20201217,28.1,28.1,26.8,27.8,300030
DXP,20201217,16.5,16.6,15.9,16.2,388840
DZM,20201217,3.2,3.5,3.2,3.5,37115
EBS,20201217,8.2,8.2,8.2,8.2,20
EID,20201217,14.2,14.8,14,14.3,5920
FID,20201217,1.1,1.1,1,1.1,74300
GIC,20201217,18.8,18.9,18.6,18.6,3300
GKM,20201217,16.4,16.6,16.1,16.6,120000
GLT,20201217,19.5,19.8,19.3,19.6,5000
GMA,20201217,40.4,41.5,39.5,41.5,1400
HAD,20201217,17.8,18.6,17.8,18.6,50848
HAT,20201217,24.2,24.2,24.2,24.2,6
HBS,20201217,4,4,3.9,4,194500
HCC,20201217,10.4,10.4,10.2,10.2,6250
HCT,20201217,11.2,11.2,11.2,11.2,1500
HDA,20201217,8.4,8.4,8.3,8.4,56500
HHC,20201217,88,88,79.2,79.2,250
HHG,20201217,1.3,1.3,1.3,1.3,10748
HHP,20201217,12.7,12.7,12.5,12.5,309000
HJS,20201217,34.5,34.5,34.5,34.5,100
HLC,20201217,6.8,6.8,6.8,6.8,2000
HLD,20201217,28.7,28.7,27.7,27.8,192960
HMH,20201217,10.5,10.7,10.5,10.7,54714
HOM,20201217,3.2,3.3,3.2,3.2,15388
HUT,20201217,3.6,3.6,3.5,3.6,20930796
HVT,20201217,31,31,31,31,102
ICG,20201217,6.8,6.8,6.2,6.3,2540
IDC,20201217,35.4,35.9,34.5,35.9,1760830
IDJ,20201217,16.6,16.6,15.6,15.7,466101
IDV,20201217,56.8,56.9,56,56.5,20460
INN,20201217,31.6,35,31.6,33,97600
ITQ,20201217,2.7,2.8,2.7,2.8,355700
IVS,20201217,6,6.3,5.8,5.9,13400
KDM,20201217,2.1,2.1,2.1,2.1,2100
KKC,20201217,7.1,7.4,7.1,7.2,7500
KLF,20201217,1.8,1.9,1.7,1.8,2129561
KSD,20201217,4.2,4.2,4.2,4.2,200
KSQ,20201217,1.5,1.6,1.5,1.5,26800
KTT,20201217,3.3,3.3,3.2,3.2,5900
KVC,20201217,1.3,1.3,1.3,1.3,1516720
L14,20201217,51.9,52.2,51.4,52.2,134630
L18,20201217,8.9,10.2,8.9,10.2,2300
L35,20201217,6.5,6.5,6.5,6.5,31
L61,20201217,8.2,8.2,8.2,8.2,310
LAS,20201217,7.6,7.6,7.4,7.5,384000
LCS,20201217,2,2,1.9,1.9,23800
LHC,20201217,44.4,44.6,44.1,44.3,14600
LIG,20201217,5.6,5.6,5.4,5.4,322041
LM7,20201217,3.8,3.8,3.8,3.8,100
LUT,20201217,5,5,5,5,44400
MBG,20201217,5.2,5.2,5.1,5.1,872793
MBS,20201217,13.8,13.8,13.2,13.6,445603
MCF,20201217,9,10.4,9,10.3,17100
MCO,20201217,2,2,2,2,806
MDC,20201217,7.2,7.2,7.2,7.2,1500
MED,20201217,38.9,39,38.9,39,6500
MHL,20201217,3.1,3.1,3.1,3.1,200
MIM,20201217,6,6,6,6,100
MPT,20201217,1.6,1.7,1.6,1.7,126000
MST,20201217,5.6,6,5.4,6,1773541
MVB,20201217,11.9,12,11.8,12,14000
NAG,20201217,4.6,4.8,4.6,4.8,50610
NAP,20201217,12.2,12.9,12.2,12.9,200
NBC,20201217,5.9,5.9,5.6,5.7,62010
NBP,20201217,12,12,12,12,3000
NBW,20201217,21.9,22,21.9,21.9,2600
NDN,20201217,22,22,20.6,20.8,804864
NDX,20201217,8.5,8.5,8.5,8.5,7700
NET,20201217,58.5,59,58.5,59,4213
NGC,20201217,2.7,2.7,2.4,2.4,100500
NHA,20201217,19.2,19.2,18.3,18.5,102132
NHC,20201217,30,30.5,30,30.5,3600
NRC,20201217,13.2,13.2,12.9,13.2,123270
NSH,20201217,3.9,4.2,3.7,4.2,108600
NST,20201217,6.8,7.3,6.5,7.2,81900
