<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20201216,5.71,6,5.5,6,730
VNS,20201216,11.1,11.3,10.9,10.9,860
VOS,20201216,2.02,2.2,1.93,2.2,3363460
VPB,20201216,28.35,29.4,28,29.3,7373790
VPD,20201216,14,14.1,13.85,14,35900
VPG,20201216,15.45,15.7,15.35,15.65,751740
VPH,20201216,4.44,4.52,4.33,4.49,149250
VPI,20201216,33.15,33.25,32.95,33.1,1213170
VPS,20201216,13,13.5,12.65,13.3,8230
VRC,20201216,7.39,7.6,7.34,7.4,275610
VRE,20201216,30.1,30.5,29.85,30.5,7472860
VSC,20201216,53.5,54.5,53.3,54.4,204220
VSH,20201216,18.9,18.9,18.6,18.7,307940
VSI,20201216,17.05,17.15,17.05,17.15,2500
VTB,20201216,11.2,11.25,11.15,11.2,15840
VTO,20201216,7.6,8.05,7.6,7.87,55520
YBM,20201216,5.15,5.3,5.15,5.3,11310
YEG,20201216,46,46.5,45.6,45.7,23860
VGC,20201216,25.95,26,25.45,25.6,389620
VHC,20201216,46.7,46.8,45.9,46.1,1095240
VHM,20201216,86,86.6,85.5,86.2,1812470
VIB,20201216,31.95,32.5,31.9,32.4,794690
VIC,20201216,106.8,107.1,105.9,107,756200
VID,20201216,9.69,9.69,9.3,9.5,9670
VIP,20201216,8.69,8.91,8.51,8.65,720820
VIS,20201216,17.5,18,17.5,17.5,3640
VJC,20201216,125,128.1,124.8,128.1,530890
VMD,20201216,21.85,21.85,21.05,21.05,360
VND,20201216,22.9,23.45,22.65,22.85,2869210
VNE,20201216,5.4,5.51,5.2,5.51,676980
VNG,20201216,15.3,15.4,15.15,15.4,192670
VNM,20201216,111.2,112.3,110.7,111.6,2106480
TS4,20201216,3.45,3.55,3.45,3.55,390
TSC,20201216,3.18,3.2,3.06,3.06,1360180
TTA,20201216,17.1,17.15,16.85,17.1,1145050
TTB,20201216,4.5,4.55,4.5,4.5,879640
TTE,20201216,11.3,11.3,11.3,11.3,290
TTF,20201216,5.74,5.79,5.69,5.72,3296680
TV2,20201216,52.1,53,52.1,52.4,235910
TVB,20201216,12.7,12.85,12.5,12.65,136820
TVS,20201216,12.1,12.2,12.1,12.1,6510
TVT,20201216,24.5,25,24.5,24.5,10400
TYA,20201216,14.5,14.5,14.35,14.5,40120
UDC,20201216,5.24,5.24,5,5.17,49120
UIC,20201216,47.4,47.4,46.5,47.3,6260
VAF,20201216,12.7,12.7,11.1,11.1,4280
VCB,20201216,98.5,99.9,97.8,99.9,740700
VCF,20201216,220.2,235,220,235,620
VCI,20201216,44.7,45.75,44.35,44.85,1053270
VDP,20201216,32.3,32.7,32.25,32.5,11820
VDS,20201216,9.86,10,9.8,10,20640
TIX,20201216,29.4,29.4,29.4,29.4,150
TLD,20201216,5.33,5.49,5.3,5.46,409820
TLG,20201216,39.5,39.9,39.25,39.4,227120
TLH,20201216,7.55,7.55,7.1,7.39,1668530
TMP,20201216,42.5,42.5,41,41,3370
TMS,20201216,34.7,34.7,32.8,34.7,91600
TMT,20201216,6,6,5.4,5.66,13200
TN1,20201216,75.6,78.6,75,78.6,6830
TNA,20201216,13.3,13.65,13,13.45,231500
TNC,20201216,31.1,31.1,30.55,30.55,410
TNI,20201216,2.99,3,2.97,2.98,459350
TNT,20201216,1.74,1.74,1.7,1.71,106800
TPB,20201216,22.35,22.9,22.25,22.7,2612110
TPC,20201216,8.43,8.43,8.42,8.42,230
TRA,20201216,68.9,68.9,68.4,68.4,1120
TCM,20201216,48.5,49.8,48,48.8,991840
TCO,20201216,10.5,10.5,10.5,10.5,110
TCR,20201216,3.48,3.72,3.47,3.47,80
TCT,20201216,29,29,28.5,29,60510
TDC,20201216,11,11,10.7,11,3029140
