<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAA,20201217,13.3,13.4,13.1,13.2,3706540
AAM,20201217,11,11.45,11,11.1,5110
ABS,20201217,17.9,18.35,16.7,18.2,320120
ABT,20201217,31,31,31,31,60
ACB,20201217,28.1,28.85,28.05,28.3,13567290
ACC,20201217,14,14.25,13.9,13.9,28420
ACL,20201217,12.65,12.85,12.65,12.75,91840
ADS,20201217,10.7,10.75,10.5,10.5,130410
AGG,20201217,31.1,31.1,30.35,30.9,3446800
AGM,20201217,12.9,12.9,12.6,12.7,20790
AGR,20201217,8.24,8.35,8,8.18,2125670
AMD,20201217,2.7,2.7,2.66,2.68,1204840
ANV,20201217,23,23,22.3,22.75,1099750
APC,20201217,22.65,23,22.4,22.4,57920
APG,20201217,9.9,10,9.87,9.99,1365990
APH,20201217,85,85.2,81,81.9,530780
ASG,20201217,37.5,38.2,37.3,37.5,33210
ASM,20201217,14.6,15.2,14.35,14.9,4411970
ASP,20201217,6.31,6.35,6.25,6.3,80340
AST,20201217,56.6,56.6,55.6,55.6,120740
BBC,20201217,60.5,61,60,60,2260
BCE,20201217,9.5,9.61,9.3,9.5,168180
BCG,20201217,9.7,9.89,9.66,9.85,1401930
BCM,20201217,41.2,41.8,40.6,41,64770
BFC,20201217,16.2,16.3,16.15,16.25,482140
BHN,20201217,76.1,76.1,74.2,74.5,2100
BIC,20201217,21.25,21.3,20.85,20.9,158180
BID,20201217,46.8,47.6,46.4,46.4,3894580
BMC,20201217,11.95,11.95,11.8,11.9,72100
BMI,20201217,30.2,30.2,29.35,29.35,731380
BMP,20201217,64.6,64.6,63.4,63.5,110500
BRC,20201217,10.8,10.8,10.8,10.8,7470
BSI,20201217,11.15,11.3,11.05,11.05,356530
BTP,20201217,14.1,14.1,14,14.05,2910
BVH,20201217,58.4,58.6,57,57,1212490
BWE,20201217,31.6,31.7,31,31.05,677750
C32,20201217,24.8,24.8,24.25,24.4,267430
C47,20201217,9.8,9.81,9.68,9.7,210530
CCI,20201217,14,14,14,14,110
CCL,20201217,7.8,8.1,7.79,8.05,722260
CDC,20201217,24.5,24.5,23.8,23.85,67650
CEE,20201217,18.2,18.2,18.2,18.2,14400
CFPT2008,20201217,2.1,2.13,1.98,2,353780
CFPT2010,20201217,8.07,8.07,7.48,7.48,149830
CFPT2011,20201217,2.37,2.37,2.19,2.2,1302220
CFPT2012,20201217,2,2.01,1.93,1.94,830100
CFPT2013,20201217,4.82,4.82,4.78,4.82,5910
CFPT2014,20201217,3.2,3.2,3,3,1440
CFPT2015,20201217,1.95,2,1.85,1.9,144840
CFPT2016,20201217,2.43,2.45,2.35,2.36,409240
CHDB2007,20201217,2.19,2.4,2.1,2.24,202420
CHDB2008,20201217,1.65,1.67,1.49,1.65,749370
CHP,20201217,19.65,19.7,19.55,19.6,10010
CHPG2010,20201217,3.62,3.89,3.62,3.89,259810
CHPG2012,20201217,20.57,20.57,20.1,20.1,56030
CHPG2014,20201217,21.11,21.42,20.7,20.7,705000
CHPG2015,20201217,20.82,20.83,20.3,20.31,370680
CHPG2016,20201217,9.88,9.88,9,9.47,552780
CHPG2017,20201217,2.6,2.62,2.49,2.56,943260
CHPG2018,20201217,2.77,2.8,2.63,2.7,454940
CHPG2020,20201217,14.15,14.15,13.5,13.5,180630
CHPG2021,20201217,7.02,7.02,6.74,6.8,154660
CHPG2022,20201217,5.6,6.3,5.6,6.01,355310
CHPG2023,20201217,10.06,10.06,9.3,9.3,234010
CHPG2024,20201217,6,6,5.9,5.9,9510
CHPG2025,20201217,6.21,6.95,6.21,6.5,29820
CIG,20201217,1.96,1.97,1.9,1.97,100
CII,20201217,19.3,19.5,18.8,19.5,3793300
CKDH2001,20201217,1.5,1.56,1.4,1.4,146210
CKDH2002,20201217,1.85,1.85,1.63,1.63,70120
CKDH2003,20201217,1.25,1.26,1.21,1.22,679260
CKG,20201217,13.5,14.2,13.45,13.6,1327080
CLC,20201217,30.5,31,30.2,30.95,12190
CLG,20201217,0.95,0.95,0.92,0.94,106970
CLL,20201217,30.9,30.9,30.5,30.5,5700
CLW,20201217,23.25,23.25,23.25,23.25,60
CMBB2007,20201217,3.56,4.34,3.56,4.12,153470
CMBB2008,20201217,6.06,6.22,5.86,5.96,250090
CMBB2009,20201217,3.4,3.6,3.39,3.45,644080
CMBB2010,20201217,7.4,7.4,6.97,7.03,62410
CMBB2011,20201217,6.55,6.65,6.35,6.35,432180
CMG,20201217,32.8,32.8,32.3,32.4,75690
CMSN2006,20201217,5.68,5.94,5.68,5.8,35520
CMSN2007,20201217,2.95,3.05,2.95,3.02,116230
CMSN2009,20201217,2.61,2.75,2.55,2.68,312220
CMSN2010,20201217,15.57,15.66,15.21,15.56,10090
CMSN2011,20201217,6.61,6.82,6.6,6.75,33220
CMSN2013,20201217,1.5,1.6,1.38,1.54,93630
CMSN2014,20201217,1,1.02,0.95,0.98,211980
CMV,20201217,15,15,15,15,830
CMWG2010,20201217,3.45,3.57,3.39,3.39,135840
CMWG2012,20201217,7.45,7.58,7.25,7.25,143680
CMWG2013,20201217,12.2,14.74,12.2,14.13,9500
CMWG2014,20201217,3.18,3.18,3.18,3.18,600
CMWG2015,20201217,2.36,2.36,2.22,2.22,854700
CMWG2016,20201217,2.02,2.15,1.97,2,797530
CMX,20201217,16.6,16.6,16.2,16.2,761970
CNG,20201217,19.55,19.55,19.5,19.5,42250
CNVL2002,20201217,1.99,2.15,1.97,2.06,90080
CNVL2003,20201217,1.14,1.14,1.03,1.09,833500
COM,20201217,45.3,45.3,45.3,45.3,80
CPNJ2006,20201217,1.87,1.91,1.8,1.88,258120
CPNJ2008,20201217,5.6,5.68,5.49,5.49,19090
CPNJ2009,20201217,2.72,2.83,2.72,2.76,259270
CPNJ2010,20201217,2.8,2.85,2.65,2.7,203480
CRC,20201217,14.85,15.95,14.85,15.85,748570
CRE,20201217,33.35,33.7,33.1,33.2,1174440
CREE2005,20201217,3.63,3.63,3.53,3.53,33210
CREE2006,20201217,2.11,2.15,2,2,272160
CSBT2007,20201217,2.66,2.79,2.63,2.75,190940
CSM,20201217,16.5,16.9,16.35,16.6,61920
CSTB2006,20201217,2.1,2.31,2.1,2.23,78630
CSTB2007,20201217,3.02,3.21,3.02,3.08,469380
CSTB2010,20201217,2.65,2.88,2.65,2.8,609770
CSTB2011,20201217,3.08,3.32,3.01,3.1,393540
CSTB2012,20201217,3.9,4.37,3.9,4.1,386830
CSTB2013,20201217,4.65,5.28,4.65,4.86,246540
CSTB2014,20201217,5.01,5.72,5.01,5.43,170660
CSTB2015,20201217,1.74,1.85,1.66,1.73,914950
CSTB2016,20201217,2.45,2.45,1.96,1.97,724980
CSV,20201217,28.4,28.55,27.85,27.9,331310
CTCB2007,20201217,4,4.68,4,4.2,1214470
CTCB2009,20201217,7.2,8.02,6.97,7.14,595950
CTCB2010,20201217,3.8,4.5,3.63,4,938490
CTCB2011,20201217,6.1,6.9,5.89,6.35,362480
CTCH2001,20201217,1.05,1.2,1.03,1.13,441070
CTCH2002,20201217,0.76,0.89,0.73,0.84,693010
CTCH2003,20201217,1.18,1.35,1.16,1.21,301560
CTD,20201217,72,72,69.8,70.4,1268120
CTF,20201217,22.8,22.8,21.5,21.85,98140
CTG,20201217,34.9,35.1,34.1,34.1,14327750
CTI,20201217,14.35,14.35,14,14.1,352370
CTS,20201217,11.2,11.25,10.85,11.1,994580
CVHM2005,20201217,0.9,0.96,0.89,0.91,220410
CVHM2006,20201217,0.68,0.72,0.6,0.68,594940
CVHM2007,20201217,2.57,2.59,2.41,2.43,1128950
CVHM2008,20201217,1.24,1.34,1.21,1.3,133200
CVHM2009,20201217,1.9,1.98,1.79,1.84,201310
CVHM2010,20201217,1.68,1.75,1.59,1.6,226490
CVIC2004,20201217,0.95,0.95,0.85,0.9,81950
CVIC2005,20201217,1.67,1.7,1.6,1.68,259450
CVIC2006,20201217,2.43,2.5,2.27,2.39,702400
CVIC2007,20201217,0.7,0.7,0.63,0.68,203790
CVJC2004,20201217,1.3,1.3,1.09,1.14,109080
CVJC2005,20201217,2.88,2.88,2.66,2.68,141640
CVJC2006,20201217,1.5,1.5,1.34,1.42,508050
CVNM2007,20201217,1.25,1.25,1.16,1.21,227920
CVNM2008,20201217,3.39,3.39,2.34,2.34,2250
CVNM2010,20201217,2.75,2.8,2.68,2.8,255710
CVNM2011,20201217,1.05,1.06,1.01,1.05,723090
CVNM2012,20201217,5.3,5.92,5.08,5.45,14600
CVNM2013,20201217,1.71,1.8,1.7,1.7,361850
CVNM2014,20201217,0.82,0.84,0.8,0.8,3810
