<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SWC,20201217,16,16.7,16,16.6,153280
SZE,20201217,14,14.3,13.8,14.3,40330
TA6,20201217,6.9,7.2,6.9,7.2,31600
TCI,20201217,7.9,7.9,7.7,7.7,5300
TCW,20201217,25.7,25.8,25.7,25.7,19610
TDS,20201217,12.9,12.9,12.7,12.7,700
THP,20201217,10.3,11.7,10.3,11.7,5321
THU,20201217,8,8,8,8,3300
THW,20201217,13.2,13.2,13.2,13.2,100
TID,20201217,16,16,16,16,1100
TIS,20201217,10.2,10.2,10.2,10.2,3000
TL4,20201217,8,8,7.9,7.9,800
TLP,20201217,9.8,9.8,9.8,9.8,2000
TLT,20201217,9.6,9.6,9.6,9.6,200
TOT,20201217,5.3,5.4,5.3,5.4,3503
TR1,20201217,18,18,18,18,100
TTG,20201217,3.5,3.5,3.5,3.5,100
TTN,20201217,9.6,9.7,9.5,9.5,57300
TVN,20201217,7.9,8.6,7.8,8.4,505858
UDJ,20201217,11.1,11.1,10.7,10.8,40972
VAV,20201217,44.7,45,44.7,45,4100
VBB,20201217,11.4,11.4,11.4,11.4,12000
VCA,20201217,10.9,11.1,10.9,11,25125
VCP,20201217,50.8,58,49.5,49.5,88300
VCR,20201217,19,19.1,18.8,18.9,183800
VCW,20201217,39.5,44,39.5,44,500
VCX,20201217,5.7,6,5.7,6,15800
VDN,20201217,13.4,13.4,13.4,13.4,2700
VE9,20201217,1.4,1.4,1.4,1.4,26500
VEA,20201217,50.9,58.4,50.6,51.8,513723
VEC,20201217,11.3,12,11.3,11.6,17800
VEF,20201217,82.6,83.3,71.1,82.5,10100
VET,20201217,50,50,50,50,1000
VFC,20201217,10.8,10.8,10.8,10.8,108
VFS,20201217,6.6,6.6,6.5,6.5,34900
VGG,20201217,41.1,46,41.1,44,50840
VGI,20201217,32.5,33.1,32.1,32.6,998075
VGR,20201217,30,30,30,30,400
VGT,20201217,9.8,10.3,9.8,10,817740
VGV,20201217,10,10,10,10,4000
VHG,20201217,0.8,0.9,0.8,0.9,978590
VIH,20201217,9.8,9.8,9.8,9.8,200
VIM,20201217,22,22,22,22,100
VIN,20201217,14.3,14.3,14.3,14.3,100
VIW,20201217,8.2,8.2,8.2,8.2,100
