<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAS,20201216,5.7,5.8,5.6,5.8,822174
ABC,20201216,17.7,17.9,17.6,17.7,27300
ABI,20201216,36.6,36.9,35.9,36.5,14625
ABR,20201216,29.4,29.4,29.4,29.4,300
ACE,20201216,27.7,28.8,27.7,28.8,1400
ACV,20201216,78.7,79.5,78.4,79,452135
ADG,20201216,60.7,61,60.2,60.8,75609
ADP,20201216,24,24,24,24,100
AFX,20201216,11.9,12.1,11.4,12,277679
AG1,20201216,11.5,11.5,11.5,11.5,100
AGP,20201216,14.6,14.7,14.5,14.7,4200
AMS,20201216,7.9,10.3,7.9,10.3,8101
APF,20201216,37,37,36,36,7000
ATB,20201216,0.7,0.7,0.6,0.7,6400
BAB,20201216,18,18,18,18,2300
BAL,20201216,7.6,7.6,7.6,7.6,700
BBT,20201216,17.2,18,17.2,18,600
BDG,20201216,48,48.5,48,48.5,13049
BDT,20201216,20,21.6,20,21.6,54242
BHA,20201216,10,10,10,10,500
BHP,20201216,7,7,7,7,900
BLI,20201216,7.9,9,7.6,9,6392
BMS,20201216,6,6,6,6,9
BOT,20201216,52.5,52.6,52.4,52.5,11300
BRR,20201216,10.1,10.5,10,10.5,2100
BSA,20201216,12.8,12.9,12.5,12.5,19737
BSL,20201216,10.5,10.8,10.5,10.5,29600
BSQ,20201216,20,20,20,20,2400
BSR,20201216,8.7,10,8.5,8.6,4972727
BTD,20201216,22.6,22.8,22.4,22.4,36001
BTN,20201216,3.2,3.3,3.2,3.3,500
BUD,20201216,7,7,7,7,100
BVB,20201216,13,13.3,12.9,13.2,1665983
BVG,20201216,1.8,1.9,1.7,1.7,51109
BWA,20201216,5.1,5.1,5.1,5.1,2900
BWS,20201216,35.2,35.2,35,35,2100
C21,20201216,15.5,15.5,14.1,14.3,5918
C4G,20201216,10.3,10.3,10.1,10.2,866085
C71,20201216,5.5,6.4,5.5,6.4,400
CAT,20201216,14.3,14.3,14.3,14.3,2000
CC1,20201216,26,26,26,26,100
CCM,20201216,44.9,45,44.9,45,300
CCR,20201216,14.8,14.8,14.8,14.8,100
CDO,20201216,0.7,0.8,0.7,0.8,295315
CDP,20201216,10.2,10.5,10.2,10.5,1000
CEN,20201216,6.9,7,6.8,6.9,10800
CI5,20201216,4.1,4.1,4.1,4.1,100
CKD,20201216,20,20.3,20,20.3,900
CLX,20201216,17,17.1,16.7,17,19600
CMT,20201216,7.6,7.6,7.6,7.6,12020
CNC,20201216,24.7,24.7,24.7,24.7,100
CQN,20201216,18,18,17.5,17.5,2500
CSI,20201216,14,14.1,14,14.1,2100
CT6,20201216,5.4,5.4,4.7,5.4,26758
CTR,20201216,62.5,63.3,53.1,63,1008943
DAP,20201216,40.2,40.2,40.2,40.2,100
DBM,20201216,32.3,32.3,32.3,32.3,100
DC1,20201216,9.8,9.8,9.3,9.3,17000
DCF,20201216,14,14,10.6,10.6,200
DCR,20201216,2.2,2.2,2.2,2.2,5
DDN,20201216,10.9,10.9,10.9,10.9,45
DDV,20201216,7,7,7,7,600
DHD,20201216,24.8,24.8,24,24.8,2500
