<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201216,11,12.1,11,11.8,879566
ACM,20201216,0.9,0.9,0.8,0.9,567420
ADC,20201216,18.5,19.3,18.2,19.1,31900
AMV,20201216,17.1,18.3,17.1,18.1,1727570
API,20201216,9.5,9.5,9.4,9.4,2610
APS,20201216,4.1,4.4,4.1,4.4,638330
ART,20201216,2.8,2.8,2.6,2.7,1579564
ATS,20201216,28.5,28.5,28.5,28.5,100
BAX,20201216,69,69.4,68.6,69.4,30200
BCC,20201216,7.6,7.8,7.5,7.6,1008095
BCF,20201216,45,46.6,45,46.5,400
BII,20201216,1.8,1.8,1.7,1.8,545623
BKC,20201216,5.6,5.6,5.6,5.6,10
BNA,20201216,33.3,33.5,33.2,33.5,51500
BTS,20201216,4.3,4.3,4.3,4.3,528
BVS,20201216,14,14.2,13.7,13.8,633233
C69,20201216,7.6,8.2,7.5,8.1,306667
C92,20201216,3.4,3.5,3.4,3.5,13500
CAP,20201216,37.4,37.6,37.4,37.6,5975
CDN,20201216,26,26,23.4,26,15407
CEO,20201216,8.4,8.6,8.4,8.5,2973353
CET,20201216,3.3,3.3,3.3,3.3,16400
CIA,20201216,14.1,14.4,14.1,14.4,34090
CKV,20201216,11.8,12.9,11.8,12.9,1300
CLH,20201216,21.5,21.6,21.5,21.6,4300
CMS,20201216,2.6,2.7,2.6,2.6,16200
CPC,20201216,16.6,16.6,16.6,16.6,130
CSC,20201216,20.8,20.8,20.8,20.8,200
CTP,20201216,3.2,3.3,3.2,3.3,51110
CTT,20201216,10.9,10.9,10.9,10.9,1000
CTX,20201216,6.5,7.1,6.5,7.1,3098
CVN,20201216,10.9,11.6,10.9,11.4,416657
D11,20201216,24.1,25,24.1,24.8,5000
DAD,20201216,17.8,18,17.8,18,200
DAE,20201216,14.7,14.8,14.7,14.8,10500
DC2,20201216,9.5,9.5,9.5,9.5,1100
DDG,20201216,28.4,28.7,28.4,28.6,134300
DHT,20201216,54.7,55.1,53.8,54,41770
DNC,20201216,50,50,50,50,1300
DNM,20201216,41.7,41.8,40.6,41,19740
DP3,20201216,85.1,85.3,85,85,1345
DS3,20201216,3.9,4.1,3.9,4,23800
DST,20201216,2.6,2.7,2.5,2.6,526501
DTD,20201216,28.9,28.9,27.7,28.2,158270
DXP,20201216,16.5,16.8,16.3,16.7,254365
DZM,20201216,3.2,3.3,3.2,3.2,27100
EID,20201216,14.2,14.9,13.6,14.8,126200
EVS,20201216,6.8,6.8,6.7,6.7,2900
FID,20201216,1.1,1.1,1,1,88412
GIC,20201216,18.6,19.3,18.6,19,1500
GKM,20201216,16.4,16.6,16,16.6,383700
GLT,20201216,19.9,19.9,19.5,19.5,5950
GMA,20201216,39.5,39.5,39.5,39.5,400
HAD,20201216,17.6,18.3,17.6,17.8,14700
HAT,20201216,23.5,24.2,23.4,24.2,16100
HBS,20201216,3.4,3.7,3.4,3.7,179178
HCC,20201216,10.1,10.2,10,10.2,33000
HCT,20201216,10.6,11.5,10.6,11.5,9625
HDA,20201216,8.4,8.5,8.4,8.4,45800
HHC,20201216,87.8,87.8,87.8,87.8,196
HHG,20201216,1.2,1.3,1.2,1.3,12110
HHP,20201216,12.6,12.9,12.5,12.7,363901
HJS,20201216,34.5,34.5,34.5,34.5,200
HKT,20201216,7.6,7.6,7.6,7.6,100
HLC,20201216,7,7,7,7,4000
HLD,20201216,29,29.5,28.3,28.7,77547
HMH,20201216,10,10.8,10,10.8,71600
HOM,20201216,3.3,3.3,3.2,3.2,12600
HUT,20201216,3.1,3.3,3.1,3.3,5301843
HVT,20201216,31,31,31,31,2000
IDC,20201216,35,36,35,35.5,1120710
IDJ,20201216,16.7,16.7,16.3,16.6,194030
IDV,20201216,57,57.5,56.8,56.8,5116
INN,20201216,32,32.3,32,32,6900
ITQ,20201216,2.4,2.6,2.4,2.6,328822
IVS,20201216,6,6,5.8,6,55900
KDM,20201216,2.1,2.1,2,2.1,800
KKC,20201216,7.1,7.8,7.1,7.7,8600
KLF,20201216,1.9,1.9,1.8,1.8,1081610
KSD,20201216,4.4,4.4,4.4,4.4,100
KSQ,20201216,1.5,1.6,1.5,1.5,20400
KST,20201216,18,18,18,18,100
KTT,20201216,3.5,3.5,3.1,3.5,26700
KVC,20201216,1.2,1.2,1.1,1.2,1576300
L14,20201216,52,52.1,51.8,52,42418
L43,20201216,2.5,2.6,2.5,2.6,1400
L61,20201216,7,7.5,7,7.5,400
LAS,20201216,7.5,7.7,7.4,7.6,377700
LCS,20201216,2,2.1,1.9,1.9,15100
LDP,20201216,11.6,12.5,11.5,12.5,3500
LHC,20201216,44.5,44.5,44.3,44.3,2200
LIG,20201216,5.5,5.7,5.4,5.6,300460
LM7,20201216,3.6,3.7,3.6,3.7,10000
LUT,20201216,4.6,4.6,4.2,4.6,121720
MAC,20201216,6.2,6.5,6.2,6.5,1800
MAS,20201216,35.6,35.6,35.6,35.6,706
MBG,20201216,5.1,5.2,5.1,5.1,355241
MBS,20201216,13.9,14.2,13.8,13.8,481891
MCF,20201216,8.5,9.9,8.5,9.9,18100
MCO,20201216,1.9,2,1.9,2,11171
MHL,20201216,3.1,3.4,3.1,3.4,400
MIM,20201216,6.6,6.6,6.6,6.6,100
MPT,20201216,1.6,1.7,1.6,1.6,144800
MST,20201216,5.2,5.6,5.2,5.5,998170
MVB,20201216,12.8,12.8,12.8,12.8,500
NAG,20201216,4.6,4.6,4.5,4.6,23000
NAP,20201216,13,13.5,12.5,13.5,700
NBC,20201216,5.9,6.1,5.9,5.9,20910
NBP,20201216,12,12,12,12,2000
NBW,20201216,24.3,24.3,24.3,24.3,100
NDN,20201216,21.2,21.8,20.9,21.5,515452
NDX,20201216,8.5,8.6,8.5,8.5,17300
NET,20201216,58.5,59,58.5,58.6,2810
NGC,20201216,2.5,2.5,2.5,2.5,6
NHA,20201216,19.3,19.4,19,19.2,100840
NHC,20201216,29.9,29.9,29.9,29.9,4278
NRC,20201216,13.3,13.3,13,13.2,123550
NSH,20201216,4.2,4.3,3.9,3.9,124109
NST,20201216,6.8,6.9,6.7,6.9,24726
NTH,20201216,29.6,29.6,29.5,29.5,3800
NTP,20201216,36.7,36.7,36.2,36.5,60539
NVB,20201216,8.4,8.5,8.4,8.5,2636410
ONE,20201216,4.2,4.4,4.2,4.4,67100
PCE,20201216,9,9.2,9,9.2,15000
PCG,20201216,4.8,4.8,4.8,4.8,200
PCT,20201216,5.2,5.7,5.2,5.7,14800
PDC,20201216,3.3,3.3,3.2,3.2,2000
PGN,20201216,12.9,13,12.6,12.7,74826
PGS,20201216,19,19.3,18.8,19,91249
PHN,20201216,27.5,27.5,27.5,27.5,10
PHP,20201216,15.8,16.3,15.8,16,21320
PIA,20201216,27,27.5,27,27.5,1600
PIC,20201216,9.1,9.1,9,9,2700
PJC,20201216,23,23.5,23,23.5,600
PLC,20201216,26.5,26.5,25.8,26,379191
PMC,20201216,56.9,56.9,56.5,56.5,7000
POT,20201216,17.1,17.1,17.1,17.1,52
PPP,20201216,12.6,13,12.6,13,210
PPS,20201216,7.5,8.1,7.5,7.6,14890
PPY,20201216,17.1,17.1,17.1,17.1,100
PRC,20201216,8.6,8.6,8.6,8.6,1
PSC,20201216,13,13,13,13,100
PSD,20201216,15.7,15.9,15.7,15.8,7504
PSI,20201216,4,4,4,4,10500
PSW,20201216,9,9,9,9,100
PTI,20201216,20.7,20.7,20.7,20.7,5300
PTS,20201216,7.1,7.3,7.1,7.1,22100
PV2,20201216,2.6,2.6,2.6,2.6,1500
PVB,20201216,16.8,17,16.6,16.8,157895
PVC,20201216,6.7,6.8,6.7,6.8,450393
PVG,20201216,7.8,7.9,7.5,7.5,9300
PVI,20201216,30.5,30.9,30.2,30.7,81378
PVL,20201216,1.1,1.2,1.1,1.2,73640
PVS,20201216,15.6,16.3,15.6,16,9577350
QHD,20201216,26.8,27.6,26.8,27.6,2100
QST,20201216,12.1,12.1,12.1,12.1,200
QTC,20201216,15.5,15.5,15.1,15.1,300
RCL,20201216,18.2,19.8,18.2,19.2,281090
S55,20201216,26,26,26,26,200
S74,20201216,4.6,4.6,4.2,4.2,1300
S99,20201216,17.4,18.1,17.4,17.8,130031
SAF,20201216,50.6,50.6,50.6,50.6,100
SCI,20201216,74,75,73.4,74,9200
SD2,20201216,5.8,5.9,5.8,5.9,2000
SD4,20201216,3.7,3.7,3.7,3.7,6300
SD5,20201216,6.5,6.7,6.4,6.4,50100
SD6,20201216,2.6,2.7,2.6,2.7,59100
SD9,20201216,6.7,6.8,6.7,6.8,22224
SDA,20201216,4.4,4.4,4.4,4.4,72
SDC,20201216,10.6,10.6,10.6,10.6,100
