<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20201221,5.72,6.09,5.72,6.09,350
VNM,20201221,110.4,111.4,110.2,111,2341080
VNS,20201221,10.9,11,10.85,11,620
VOS,20201221,2.1,2.19,2.05,2.15,1983680
VPB,20201221,32.1,33.5,32.1,33,5858030
VPD,20201221,14.4,14.65,14.4,14.5,28980
VPG,20201221,18.05,18.4,17.7,18.2,1611460
VPH,20201221,4.6,4.64,4.51,4.52,62500
VPI,20201221,33.15,33.15,32.95,33.15,688900
VPS,20201221,13.4,13.85,13,13.85,11270
VRC,20201221,8.13,8.13,7.9,8.13,846380
VRE,20201221,30.35,30.65,29.95,30.4,9988310
VSC,20201221,54.6,54.6,53.9,54.3,166420
VSH,20201221,18.55,18.6,18.35,18.6,43760
VSI,20201221,17.35,17.35,17,17.2,2440
VTB,20201221,11.2,11.2,10.9,11.2,44500
VTO,20201221,7.7,7.99,7.53,7.99,26710
YBM,20201221,5.5,5.78,5.5,5.64,13900
YEG,20201221,45.2,45.4,45.1,45.15,58390
TVT,20201221,25,25,24.4,24.4,3340
TYA,20201221,14.5,14.65,14.45,14.5,51530
UDC,20201221,5.15,5.15,5,5.13,7600
UIC,20201221,45.7,47.4,45.7,47.3,670
VAF,20201221,12.2,12.2,12.2,12.2,10
VCB,20201221,98.9,99,97.3,98.9,697030
VCF,20201221,229.9,229.9,229,229.5,100
VCI,20201221,48.5,50.2,47,50.2,2151210
VDP,20201221,32.4,32.4,32,32,20
VDS,20201221,10.1,10.5,9.7,10.2,87920
VGC,20201221,25.65,25.7,25.5,25.7,374600
VHC,20201221,42.45,42.5,40.6,41.3,2215760
VHM,20201221,85.6,87.3,85.6,87.1,3322250
VIB,20201221,33.2,34,33.2,33.75,639870
VIC,20201221,105.5,106.4,104.9,106.4,587100
VID,20201221,9.13,9.28,8.51,9.18,8890
VIP,20201221,8.35,8.59,8.35,8.44,401830
VIS,20201221,17.1,17.75,16.85,16.9,14860
VJC,20201221,125.2,125.8,124.8,125.8,652430
VMD,20201221,22.5,22.5,21.55,21.55,210
VND,20201221,25.3,25.8,25.1,25.8,2609970
VNE,20201221,5.47,5.47,5.27,5.4,258760
VNG,20201221,15.3,15.4,15.2,15.4,196030
VNL,20201221,17,17,16.3,17,7690
TLD,20201221,5.75,6.12,5.75,6.12,1147800
TLG,20201221,39.4,39.8,38.7,39.8,184000
TLH,20201221,7.31,7.48,7.3,7.37,764770
TMP,20201221,41,41.1,41,41,8330
TMS,20201221,38,38,35.5,36,81600
TMT,20201221,5.38,5.77,5.18,5.54,24270
TN1,20201221,80,82,78,82,3570
TNA,20201221,13.2,13.25,12.9,12.95,395700
TNC,20201221,32.7,32.7,32.7,32.7,1060
TNI,20201221,2.95,2.99,2.95,2.98,852870
TNT,20201221,1.99,1.99,1.87,1.97,347980
TPB,20201221,25.8,26.6,25.7,26.6,4223670
TPC,20201221,9,9,9,9,2000
TRA,20201221,69.9,69.9,68.5,69.4,5250
TRC,20201221,38.3,38.3,36.3,38.2,6580
TS4,20201221,3.4,3.4,3.37,3.37,1140
TSC,20201221,3.05,3.2,3.05,3.15,2245970
TTA,20201221,17.95,19.15,17.8,19.15,3462640
TTB,20201221,4.94,5.23,4.9,4.97,994990
TTF,20201221,5.55,5.59,5.42,5.5,7127790
TV2,20201221,54.3,55.6,54.1,54.5,336930
TVB,20201221,12.9,12.9,12.25,12.5,1109170
TVS,20201221,12,12.8,12,12.8,79780
TCR,20201221,3.7,3.7,3.3,3.3,2320
TCT,20201221,29.5,30,29.3,29.7,21740
TDC,20201221,11.35,12.1,11.2,12.1,1530830
TDG,20201221,2.61,2.64,2.54,2.57,666050
TDH,20201221,8.8,8.9,8.75,8.8,4309490
TDM,20201221,26.3,26.8,26.3,26.3,735860
TDP,20201221,38.7,38.7,36,36.5,313260
TEG,20201221,4.59,4.62,4.5,4.62,14200
TGG,20201221,1.09,1.14,1.08,1.11,338470
THG,20201221,57.1,57.1,56.2,57,6590
TIP,20201221,36.35,39.05,36.35,39.05,538900
SMB,20201221,43.1,43.2,42.5,43.2,65010
SMC,20201221,18.2,19.1,17.85,18.6,233360
SPM,20201221,13,13.3,13,13.3,3020
SRC,20201221,19,19.3,18.8,19.3,94810
SRF,20201221,13.5,14.3,13.5,14.3,260
SSC,20201221,49.55,49.55,49.55,49.55,30
SSI,20201221,27.4,28.65,27.2,28.65,14052330
ST8,20201221,10.85,11.35,10.85,11.3,3650
STB,20201221,17.2,17.3,16.9,17,25779000
STG,20201221,14.5,14.95,14.5,14.8,10540
STK,20201221,22,22,21.4,21.9,60620
SVI,20201221,109.8,109.8,96,107,5360
SVT,20201221,14.3,14.3,14.3,14.3,60
SZC,20201221,32.3,33.75,32.1,32.6,1404260
SZL,20201221,56.5,57.3,56.5,56.5,21530
TAC,20201221,47.4,47.8,47.4,47.4,47880
TBC,20201221,24.7,25,24.7,25,16780
TCB,20201221,29.5,29.9,29.1,29.4,22777010
TCD,20201221,10.3,10.8,10.3,10.8,33940
TCH,20201221,19.45,19.5,19.25,19.3,5875150
TCL,20201221,28.55,28.8,28.3,28.4,305960
TCM,20201221,48.5,52,48.5,52,1359400
TCO,20201221,10.7,11.1,10.7,11.1,110
SAV,20201221,17.35,17.6,17.35,17.4,43530
SBA,20201221,15.2,15.2,15.05,15.1,30560
SBT,20201221,20.15,20.95,20.15,20.8,4862580
SBV,20201221,12.6,12.95,12.35,12.6,48250
SC5,20201221,19.3,19.3,19.3,19.3,30
SCD,20201221,24.5,24.5,23.75,24,13050
SCR,20201221,7.75,8.2,7.72,8.17,10286240
SCS,20201221,129.4,129.7,129.4,129.4,36070
SFC,20201221,22.75,23.2,22.4,23.2,490
SFG,20201221,7.25,7.38,7.15,7.3,6520
SFI,20201221,32.65,34.2,32.5,34.2,34640
SGN,20201221,70.6,70.9,70.3,70.9,8450
SGR,20201221,20.2,20.5,20.1,20.5,19110
SGT,20201221,5.65,5.99,5.6,5.99,27720
SHA,20201221,4.25,4.25,4.16,4.16,141030
SHI,20201221,8.8,8.8,8.67,8.79,660510
SHP,20201221,22.6,22.6,22.6,22.6,5120
SII,20201221,17.3,17.3,17.3,17.3,1160
SJD,20201221,16.8,17.65,16.8,17.25,202850
SJF,20201221,2.37,2.5,2.31,2.43,2757310
SJS,20201221,25.1,26.3,25,25.8,106290
SKG,20201221,10.9,10.9,10.75,10.85,372450
SMA,20201221,8.5,8.5,8.5,8.5,90
PTL,20201221,5.7,5.7,5.6,5.65,9340
PVD,20201221,14.5,14.95,14.3,14.7,14160130
PVT,20201221,13.35,13.45,13.25,13.25,3526610
PXI,20201221,3,3.2,2.99,3.17,42590
PXS,20201221,7.25,7.35,7.24,7.3,497180
PXT,20201221,1.4,1.43,1.4,1.42,53640
QBS,20201221,2.42,2.46,2.38,2.4,179800
QCG,20201221,7.43,7.43,7.43,7.43,381730
RAL,20201221,129.5,129.9,127.5,129,5750
RDP,20201221,7.89,7.89,7.55,7.88,17110
REE,20201221,47,47.8,47,47.1,522710
RIC,20201221,4.39,4.4,4.31,4.4,9500
ROS,20201221,2.2,2.21,2.18,2.19,7088750
S4A,20201221,27.2,27.5,27,27.5,2080
SAB,20201221,201.8,201.9,199.1,200,47370
SAM,20201221,10,10,9.88,10,59180
PGI,20201221,19.65,21,19.65,20.5,280
PHC,20201221,10.55,10.65,10.45,10.55,286330
PHR,20201221,64.5,65.1,63.7,64.2,932060
PIT,20201221,4.95,5,4.95,4.95,10660
