<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TIG,20201209,6.2,6.3,6.1,6.3,1657323
TJC,20201209,11.1,13,11.1,13,43840
TKC,20201209,6.4,6.4,6.1,6.3,36230
TKU,20201209,14,14,14,14,23
TMB,20201209,16.2,16.2,16.2,16.2,9600
TNG,20201209,15.1,15.6,15,15,2759156
TST,20201209,12.5,13.7,12.5,13.7,600
TTH,20201209,1.6,1.7,1.6,1.7,184015
TTT,20201209,34,34,33.1,33.1,400
TTZ,20201209,3.6,3.7,3.6,3.6,13800
TV3,20201209,24.6,24.6,24.6,24.6,100
TV4,20201209,12.8,12.8,12.8,12.8,100
TVC,20201209,11.7,11.9,11.4,11.8,1447560
TVD,20201209,6.3,6.3,6.1,6.3,83106
TXM,20201209,5,5,4.3,5,14300
UNI,20201209,7,7.4,7,7.4,72070
V12,20201209,10,10,10,10,1590
V21,20201209,4,4.1,3.7,3.7,14700
VBC,20201209,18.1,18.5,18.1,18.5,15200
VC1,20201209,8.2,8.2,8.2,8.2,100
VC2,20201209,10.7,10.7,10,10.5,3822
VC3,20201209,16.9,17,16.7,17,177500
VC6,20201209,6.8,7.9,6.8,7.9,3289
VC7,20201209,4.3,4.4,4.3,4.3,7500
VC9,20201209,4.4,4.6,4.4,4.6,300
VCG,20201209,40.7,42,40.6,41.3,377012
VCM,20201209,16.2,16.2,16.2,16.2,184
VCS,20201209,77.5,79.2,77.5,78.9,359158
VE4,20201209,10.4,10.8,10.4,10.5,6200
VE8,20201209,6.5,6.5,6.5,6.5,100
VGS,20201209,11.5,11.7,11.2,11.5,148726
VHE,20201209,3.5,3.7,3.5,3.6,69500
VHL,20201209,25.8,26.2,25.8,26.1,4300
VIF,20201209,17.4,17.4,17.1,17.1,2400
VIG,20201209,1.1,1.1,1,1.1,500319
VIT,20201209,14.5,14.5,14.2,14.5,111800
VIX,20201209,18.5,19.1,18.5,18.9,4545371
VKC,20201209,4.1,4.2,3.9,4.1,22500
VMC,20201209,11.1,11.1,10.6,10.7,31218
VNC,20201209,35,35,35,35,300
VNR,20201209,19.8,19.9,19,19,35500
VNT,20201209,68,68,68,68,500
VTC,20201209,8.7,8.7,8.5,8.7,10312
WCS,20201209,210,210,207.1,207.1,2440
WSS,20201209,2.4,2.6,2.4,2.6,315800
