<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
CVJC2006,20201209,1.12,1.16,1.1,1.16,387690
CVNM2002,20201209,0.18,0.18,0.07,0.08,37650
CVNM2007,20201209,1.29,1.29,1.1,1.22,41160
CVNM2008,20201209,2.14,2.29,2.13,2.2,311490
CVNM2010,20201209,2.68,2.69,2.65,2.67,117890
CVNM2011,20201209,0.97,1,0.96,0.99,335760
CVNM2012,20201209,5.05,5.5,5.05,5.3,20320
CVNM2013,20201209,1.57,1.6,1.57,1.59,195170
CVNM2014,20201209,0.81,0.81,0.8,0.81,29670
CVNM2015,20201209,1.7,1.72,1.67,1.71,130450
CVNM2016,20201209,0.7,0.7,0.63,0.67,188140
CVPB2008,20201209,3.31,3.42,3.1,3.1,269790
CVPB2010,20201209,6.2,6.2,6.11,6.15,4020
CVPB2011,20201209,3.04,3.24,3.04,3.12,117380
CVPB2012,20201209,3.15,3.43,3.15,3.29,351420
CVPB2013,20201209,4.5,4.5,4.5,4.5,300
CVPB2014,20201209,2.8,2.88,2.8,2.85,122130
CVRE2003,20201209,0.02,0.02,0.01,0.02,1910
CVRE2007,20201209,0.4,0.4,0.39,0.4,175270
CVRE2008,20201209,0.96,1.03,0.94,1,130200
CVRE2009,20201209,0.66,0.69,0.65,0.68,134940
CVRE2010,20201209,0.6,0.62,0.5,0.61,143500
CVRE2011,20201209,0.81,0.9,0.79,0.88,202860
CVRE2012,20201209,1.2,1.23,1.18,1.22,503460
CVT,20201209,42,42.5,41,41,102520
D2D,20201209,55,57.5,55,56.5,356200
DAG,20201209,6.82,6.96,6.81,6.91,1003410
DAH,20201209,3.9,3.9,3.8,3.85,557330
DAT,20201209,31.5,33.85,31.5,32.8,1890
DBC,20201209,42.2,43.2,42.2,42.55,1096130
DBD,20201209,44.8,45.2,44.5,44.8,54620
DBT,20201209,12.6,13.35,12.6,13.35,16550
DC4,20201209,10.8,10.8,10.55,10.55,54970
DCL,20201209,20.4,20.5,19.8,20,66580
DCM,20201209,12.8,12.8,12.6,12.65,2682830
DGC,20201209,49.45,50.1,49.2,49.45,672730
DGW,20201209,77.6,78,76.4,76.8,259600
DHA,20201209,44.8,45,44.3,44.7,20020
DHC,20201209,60.7,60.8,59.8,59.8,220460
DHG,20201209,106.8,106.8,105.4,106.5,17280
DHM,20201209,9.6,9.74,9.6,9.72,334480
DIG,20201209,26.4,26.4,25.9,25.9,3902570
DLG,20201209,1.34,1.43,1.32,1.43,13411130
DMC,20201209,56.2,56.4,56.1,56.4,45320
DPG,20201209,29.25,30.6,29.25,30.05,1023650
DPM,20201209,18.15,18.2,17.85,17.95,3497880
DPR,20201209,45,45.25,44.6,44.85,106660
DQC,20201209,15.7,16.2,15.6,16,156880
DRC,20201209,21,21.6,21,21.15,2283810
DRH,20201209,7.49,7.65,7.46,7.49,1558810
DRL,20201209,54.7,54.8,54.7,54.7,1740
DSN,20201209,46.5,46.8,46.4,46.8,17350
DTA,20201209,4.15,4.25,4.1,4.2,13720
DTT,20201209,13.3,13.3,13.3,13.3,20
DVP,20201209,46.95,47,46.5,46.9,14700
DXG,20201209,15,15.25,14.95,15,5632390
DXV,20201209,3.42,3.5,3.41,3.42,6880
E1VFVN30,20201209,16.65,16.92,16.65,16.92,150830
EIB,20201209,17.05,17.15,17,17.1,299840
ELC,20201209,7.55,7.85,7.54,7.65,474490
EVE,20201209,13.1,13.8,13,13.7,124600
EVG,20201209,6.08,6.08,5.8,5.97,955940
FCM,20201209,5.87,5.89,5.81,5.87,20190
FCN,20201209,12.35,12.65,12.35,12.45,846800
FDC,20201209,13.1,13.75,13,13.7,2100
FIR,20201209,25.1,25.4,25.1,25.35,86170
FIT,20201209,10.55,10.7,10.25,10.6,3495730
FLC,20201209,4.39,4.39,4.29,4.34,8275540
FMC,20201209,36.7,37,36.25,36.25,245920
FPT,20201209,56.3,57.8,56.2,57.5,3001820
FRT,20201209,25.7,26.5,25.7,25.8,1936630
FTM,20201209,1.27,1.31,1.27,1.3,226660
FTS,20201209,13.5,13.95,13.5,13.75,1183000
FUCTVGF2,20201209,12.15,12.15,10.65,12.15,5060
FUCVREIT,20201209,6.9,6.9,6.5,6.5,2290
FUEMAV30,20201209,11.7,11.8,11.7,11.79,198190
FUESSV30,20201209,12.28,12.41,12.12,12.41,116180
FUESSV50,20201209,14.5,14.8,14.45,14.8,55210
FUESSVFL,20201209,12.14,12.36,12.14,12.19,804460
FUEVFVND,20201209,15.8,15.8,15.6,15.71,338010
FUEVN100,20201209,13.6,13.6,12.75,13,110
GAB,20201209,193.1,195,193.1,193.3,2330
GAS,20201209,86,87.6,85.5,86.1,1135190
GDT,20201209,38.3,38.4,38.15,38.4,9150
GEG,20201209,17,17.25,17,17,1058370
GEX,20201209,21.1,21.4,21,21.05,7204860
GIL,20201209,41.25,42.6,41.2,42.4,545830
GMC,20201209,17.7,18.25,17.7,18.2,33800
GMD,20201209,29.15,29.2,28.9,29.05,4117910
GSP,20201209,11,11.05,10.75,11.05,9980
GTA,20201209,12,12,12,12,2400
GTN,20201209,24.7,26,24.65,25.7,6044410
GVR,20201209,20.1,21.3,20.1,20.45,5111400
HAG,20201209,4.7,4.73,4.65,4.68,8490020
HAH,20201209,17.8,17.9,17.2,17.45,913500
HAI,20201209,2.73,2.79,2.73,2.75,2247040
HAP,20201209,5.93,6.01,5.91,5.99,512870
HAR,20201209,4.55,4.85,4.5,4.66,1333330
HAS,20201209,7.91,8.5,7.91,8.5,410
HAX,20201209,18.7,18.7,18.3,18.35,415880
HBC,20201209,14.3,14.4,13.95,13.95,9077600
HCD,20201209,2.57,2.57,2.49,2.5,84970
HCM,20201209,26.95,27.9,26.9,27.3,4512980
HDB,20201209,22.5,22.8,22.35,22.65,5148570
HDC,20201209,31.3,31.35,30.6,30.7,1005850
HDG,20201209,30.8,31.35,30.75,31.15,2161500
HHS,20201209,4.9,4.95,4.88,4.93,1796440
HID,20201209,2.5,2.57,2.5,2.55,71160
HII,20201209,15.5,16,15.4,15.8,269200
HMC,20201209,14.9,14.9,14.9,14.9,26410
HNG,20201209,14.15,14.15,13.6,13.8,6889320
HOT,20201209,29.2,29.2,29.2,29.2,20
HPG,20201209,38.5,38.6,38.1,38.5,15264400
HPX,20201209,28.1,28.1,27.2,27.2,412680
HQC,20201209,1.67,1.74,1.65,1.7,12355900
HRC,20201209,39.7,39.7,39.7,39.7,70
HSG,20201209,20.15,20.35,19.85,20.15,10696320
HSL,20201209,5.58,5.59,5.4,5.49,153410
HT1,20201209,17,17.1,16.8,17,1060430
HTI,20201209,14.3,14.8,14,14.45,204890
HTL,20201209,16.55,17.2,16.55,17.2,1500
HTN,20201209,45,45,43.8,44.75,108590
HTV,20201209,12.6,12.8,12.6,12.6,410
HU1,20201209,7.9,7.9,7.88,7.88,30
HU3,20201209,7.5,7.5,7.5,7.5,100
HUB,20201209,20.3,20.4,19.9,20.3,10510
HVH,20201209,8.72,8.8,8.71,8.8,129370
HVN,20201209,26.7,27.05,26.7,26.85,793890
HVX,20201209,3.3,3.3,3.11,3.11,720
IBC,20201209,21.65,22.2,21.65,22.2,59110
ICT,20201209,24.2,24.3,23.6,23.9,133880
IDI,20201209,5.93,6.31,5.9,6.31,7952700
IJC,20201209,14.55,14.7,14.45,14.45,1315680
ILB,20201209,26,26.9,26,26.4,179890
IMP,20201209,55,55.4,54.6,55,87110
ITA,20201209,5.56,5.59,5.46,5.53,14550730
ITC,20201209,15.9,16.6,15.6,15.6,17510
ITD,20201209,9.27,9.4,9.25,9.33,59520
JVC,20201209,4.88,5,4.82,4.82,1874470
KBC,20201209,16.05,16.5,16.05,16.2,2854520
KDC,20201209,38,39,37.6,38.7,999720
KDH,20201209,27.25,27.8,27,27.6,1307160
KHP,20201209,6.46,6.47,6.4,6.46,40030
KMR,20201209,2.6,2.7,2.54,2.64,189000
KOS,20201209,30.4,31.3,30.4,31.2,201770
KPF,20201209,12.75,13.6,12.75,13.6,2300
KSB,20201209,28.9,29.5,28.5,28.9,1948080
L10,20201209,16.35,16.35,14.25,16.35,1250
LAF,20201209,10.7,10.7,9.36,10.2,40
LBM,20201209,32.6,32.9,32.6,32.9,10840
LCG,20201209,12.6,12.7,12.4,12.45,3072670
LCM,20201209,0.67,0.7,0.67,0.69,84050
LDG,20201209,6.8,6.85,6.77,6.77,6271380
LEC,20201209,12.85,13.85,12.85,13.85,2630
LGC,20201209,61,63.7,61,63.7,90
LGL,20201209,4.95,4.98,4.86,4.97,61390
LHG,20201209,32,33,32,32.7,410480
LIX,20201209,54.8,54.8,54.1,54.4,44670
LM8,20201209,11.1,11.1,10.8,11,1900
LPB,20201209,11.65,11.95,11.65,11.85,10123510
LSS,20201209,8.46,8.46,8.23,8.23,319230
MBB,20201209,21.5,21.75,21.35,21.4,12895210
MCG,20201209,1.8,1.85,1.8,1.84,26430
MCP,20201209,28.8,28.9,28.4,28.4,220
MHC,20201209,5.8,5.8,5.62,5.72,71210
MSH,20201209,39.5,39.6,39,39.5,132150
MSN,20201209,85.5,85.7,85,85.4,840910
MWG,20201209,114.2,115.1,113.9,115,984430
NAF,20201209,18.05,19.25,18.05,19.2,363770
NAV,20201209,21,21,21,21,20
NBB,20201209,21.6,21.9,21.6,21.9,780
NCT,20201209,70,70.4,69.9,70.4,44160
NHH,20201209,49,49.4,48.65,48.9,208300
NKG,20201209,14.1,14.8,13.9,14.25,6054700
NLG,20201209,28.95,29.5,28.95,29.3,1187750
NNC,20201209,40.35,40.45,39.25,39.25,233120
NSC,20201209,78.5,80,78.4,79,16900
NT2,20201209,23.6,23.85,23.6,23.7,724950
NTL,20201209,22.6,22.95,22.4,22.45,913880
NVL,20201209,60.5,62.8,60.4,62.8,3107290
NVT,20201209,5.08,5.2,5.08,5.19,1090
OGC,20201209,7.3,7.4,7.25,7.25,685910
PAC,20201209,27.1,27.5,27,27.05,74200
PAN,20201209,23.75,23.8,23,23.1,1192910
PC1,20201209,21.45,21.7,21.35,21.65,475870
PDN,20201209,78,79.6,78,79.6,510
PDR,20201209,43.55,43.9,43.2,43.6,2872410
PET,20201209,15.4,15.7,15.35,15.4,2021000
PGC,20201209,22.1,22.1,20.75,21.95,17090
PGD,20201209,28.2,28.2,27,27.5,180
PGI,20201209,19.5,20.45,19.5,20.45,570
PHC,20201209,10.4,10.7,10.4,10.65,361000
PHR,20201209,63.5,63.5,62.4,62.8,812700
PIT,20201209,5.1,5.1,5.1,5.1,1550
PJT,20201209,10.5,10.5,10.5,10.5,2270
PLP,20201209,7.88,7.99,7.88,7.9,970380
PLX,20201209,50.9,53,50.7,52.3,1540750
PME,20201209,76.9,76.9,76.9,76.9,10
PMG,20201209,12.9,13.05,12.9,13,6910
PNC,20201209,8.5,8.5,8.5,8.5,50
PNJ,20201209,78.5,78.9,78,78.4,566430
POM,20201209,11.05,11.05,11.05,11.05,115870
POW,20201209,11.35,11.8,11.3,11.4,16813760
PPC,20201209,24,24.05,23.85,24,355550
PSH,20201209,17.4,17.5,17.2,17.3,135460
PTB,20201209,59.6,60.7,59.2,59.5,242290
PTL,20201209,5.7,5.73,5.51,5.73,13730
PVD,20201209,13.4,13.75,13.4,13.5,8089420
PVT,20201209,12.8,13.45,12.8,13.35,6708490
PXI,20201209,3.33,3.33,3.1,3.3,46180
PXS,20201209,6.71,7,6.7,6.8,197520
PXT,20201209,1.38,1.41,1.35,1.41,80600
QBS,20201209,2.39,2.4,2.31,2.39,76540
QCG,20201209,6.85,7.07,6.8,6.98,505180
RAL,20201209,132.2,134,132.2,133.9,8420
RDP,20201209,7.94,7.94,7.71,7.71,2020
REE,20201209,46.5,46.75,46.2,46.75,552810
RIC,20201209,4.35,4.35,4.35,4.35,7000
ROS,20201209,2.21,2.21,2.19,2.2,4611600
S4A,20201209,27.6,27.65,27.6,27.65,400
SAB,20201209,203.1,205,200,200.5,102350
SAM,20201209,9.99,9.99,9.77,9.81,130010
SAV,20201209,17.85,17.95,17.4,17.6,57080
SBA,20201209,14.9,14.9,14.8,14.9,45540
SBT,20201209,19.1,19.25,18.9,19.1,3661190
SBV,20201209,10.55,10.85,10.55,10.7,49070
SC5,20201209,18.65,18.65,18.65,18.65,130
SCD,20201209,24.4,24.4,24.4,24.4,40
SCR,20201209,7.17,7.24,7.1,7.1,3806420
