<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MTA,20201209,6.9,7,6.8,6.9,49300
MTL,20201209,6.3,6.3,5.4,6.3,5200
MVC,20201209,10,10,10,10,1000
NAB,20201209,14.5,15.4,11.9,15.3,416812
NAS,20201209,28,28,28,28,1500
NBE,20201209,7.4,7.4,7.4,7.4,500
NCS,20201209,18,18,18,18,5720
NHT,20201209,37.5,38,36.5,36.6,7100
NNG,20201209,9.8,9.8,9.8,9.8,600
NS2,20201209,10,10,10,10,200
NTC,20201209,242.5,248.9,242.5,246.9,37389
NTW,20201209,18.9,19,18.9,19,1700
NUE,20201209,8.5,8.5,8.5,8.5,100
OIL,20201209,8.7,9.2,8.6,9.1,3926049
ORS,20201209,10,10.4,10,10.3,430700
PAS,20201209,15.2,15.3,14.8,15,1000500
PBC,20201209,11.8,11.8,11.8,11.8,30
PCC,20201209,15.5,15.8,15.5,15.5,18601
PCM,20201209,10.4,10.6,10.4,10.6,700
PCN,20201209,1.9,1.9,1.9,1.9,900
PDT,20201209,10.5,10.5,9.7,10.1,1300
PFL,20201209,2,2.1,2,2,270590
PGV,20201209,15.5,16,15.4,15.8,65800
PHS,20201209,9.6,9.7,9.6,9.6,1600
PJS,20201209,9.7,9.7,8.5,8.5,5000
PND,20201209,6.7,6.7,5.2,6.7,1100
POS,20201209,14.8,15.8,14.8,15.3,115400
POV,20201209,5.5,5.5,5.5,5.5,100
PPH,20201209,16.2,16.3,16,16.3,54210
PRO,20201209,4.2,4.2,4.2,4.2,900
PRT,20201209,12,12,10.1,11.7,8200
PSB,20201209,11.5,13.2,9.8,12.5,47868
PSP,20201209,7.3,7.6,7.3,7.4,18400
PTP,20201209,10.8,10.8,10.8,10.8,16
PVM,20201209,19.4,19.4,18.2,18.8,24500
PVO,20201209,3.5,3.5,3.5,3.5,5100
PVP,20201209,10.5,10.5,10,10.1,262000
PVV,20201209,0.9,1,0.8,1,207900
PWA,20201209,12.2,12.5,12.2,12.4,267674
PXL,20201209,10,10,9.6,9.8,942863
QNC,20201209,5.2,5.3,4.8,5.3,10838
QNS,20201209,37,38.5,37,38.2,324525
QTP,20201209,10.8,10.8,10.7,10.7,87061
RTS,20201209,15.2,15.2,15.2,15.2,100
SAC,20201209,9.3,9.3,9.1,9.2,2600
SAS,20201209,27.6,27.6,27.4,27.4,1220
SBH,20201209,31,31,31,31,700
SBL,20201209,11.5,11.5,11.5,11.5,700
SBS,20201209,1.5,1.7,1.4,1.7,2259920
SCJ,20201209,2.5,2.6,2.5,2.5,6100
SCL,20201209,7.3,7.4,7.3,7.4,53100
SD3,20201209,3,3.1,3,3.1,6100
SDD,20201209,2.1,2.1,2.1,2.1,14313
SDP,20201209,1.1,1.2,1.1,1.2,5100
SEA,20201209,27.2,27.5,26.9,27.2,23807
SGB,20201209,13,13.1,12.9,13.1,47184
SGP,20201209,11.4,12.5,11.4,11.6,167620
SID,20201209,13.9,13.9,13.6,13.6,1200
SIG,20201209,3.4,3.4,3.4,3.4,400
SIP,20201209,153.1,156.5,131.6,145,418245
SJG,20201209,5.6,5.6,5.5,5.5,800
SKH,20201209,20,20.5,19.9,19.9,9800
SKN,20201209,5.1,5.1,5.1,5.1,500
SKV,20201209,21.2,21.2,21.2,21.2,70
SNZ,20201209,30.9,30.9,30.4,30.4,49694
SPD,20201209,8.8,8.8,8.8,8.8,100
SPV,20201209,13.9,14.3,13.9,14.3,1600
SRB,20201209,0.9,0.9,0.9,0.9,100
SRT,20201209,3.6,3.6,3.6,3.6,100
SSN,20201209,4.9,5.3,4.9,5.3,202680
STH,20201209,13.7,13.9,13.7,13.8,49300
SWC,20201209,16,16,15.9,16,55050
SZE,20201209,14,14.9,14,14.1,46729
TCW,20201209,26.1,26.1,25.7,26.1,45533
TDS,20201209,12,12,12,12,4900
THP,20201209,9.9,11.3,9.9,11.3,6000
TID,20201209,16.5,16.5,16.5,16.5,100
TIS,20201209,9.7,9.7,9.7,9.7,1200
TL4,20201209,7.5,7.8,7.5,7.8,13882
TLP,20201209,10.8,10.8,9.8,9.8,5100
TLT,20201209,9.5,9.5,9.5,9.5,10500
TNW,20201209,13.4,13.4,13.4,13.4,100
TOT,20201209,4.8,5.4,4.8,5.4,2800
TR1,20201209,16.6,16.6,16.6,16.6,1200
TTN,20201209,9.4,9.5,9,9.5,85840
TVN,20201209,7.6,7.7,7.5,7.5,209147
UDJ,20201209,10,10,9.5,9.5,17700
