<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20201221,30,30,30,30,200
AAS,20201221,5.7,6.3,5.6,6.2,3907337
ABC,20201221,17.4,18.6,17.4,18.1,61851
ABI,20201221,37.5,41.8,37.5,38,13750
ACE,20201221,33.1,33.1,28.8,32,520
ACV,20201221,78.2,78.2,77.4,77.7,211688
ADG,20201221,63.8,66.5,63.8,66,160210
ADP,20201221,24,24,24,24,100
AFX,20201221,12.3,12.4,11.9,12.1,139109
AG1,20201221,9.8,9.9,9.8,9.9,2400
AGP,20201221,14.6,14.7,14.6,14.7,1300
AMS,20201221,9.2,10.6,9.2,10.6,2836
APF,20201221,39.9,39.9,37.2,37.2,2178
ATB,20201221,0.8,0.8,0.7,0.8,202900
AVC,20201221,26,26,26,26,110
BAL,20201221,7.6,7.6,7.6,7.6,100
BBT,20201221,17,17.8,15.6,17.8,1920
BDG,20201221,41.5,42.2,41.3,42,13449
BDT,20201221,23.6,23.6,22,22.9,20300
BLI,20201221,7.9,9.2,6.9,9.2,3600
BMJ,20201221,28.5,28.5,28.5,28.5,5000
BOT,20201221,52.6,52.7,52.6,52.6,7300
BRR,20201221,11.5,12,11.5,12,2400
BSA,20201221,12.7,12.7,12.7,12.7,34
BSL,20201221,9.9,9.9,9.6,9.9,2900
BSP,20201221,17.1,19.2,17.1,19.2,1400
BSQ,20201221,19,19,19,19,100
BSR,20201221,9.3,10.1,9.2,9.8,13838077
BTB,20201221,5,5,4.6,4.6,4500
BTD,20201221,22.3,22.6,22.3,22.4,10927
BTH,20201221,4.2,4.2,4.2,4.2,33
BTV,20201221,13.9,13.9,13.9,13.9,100
BVB,20201221,13.5,14.1,13.5,14,3092830
BVG,20201221,1.7,1.9,1.7,1.9,166250
BWA,20201221,5.8,5.8,5.8,5.8,1400
BWS,20201221,35,35,29.8,34.9,5604
C21,20201221,14.9,14.9,14.3,14.7,18200
C4G,20201221,10,10.2,9.5,9.8,2482404
CAT,20201221,14.5,14.5,14.5,14.5,1800
CC1,20201221,25,25,19.5,19.5,24710
CC4,20201221,10.2,10.2,7.6,10.2,300
CCR,20201221,14.5,14.5,14.5,14.5,100
CDO,20201221,0.9,1,0.8,1,594673
CDP,20201221,10.2,10.2,10.2,10.2,2
CEN,20201221,6.6,6.9,6.6,6.9,9900
CHS,20201221,11,11,10.6,10.6,3000
CI5,20201221,3.7,3.7,3.7,3.7,100
CKA,20201221,20,20,20,20,2000
CKD,20201221,20.7,20.8,20.7,20.8,1200
CLX,20201221,17.5,17.5,17.2,17.2,26800
CMD,20201221,18.5,18.5,18.5,18.5,500
CMT,20201221,7.4,7.9,7.4,7.9,56130
CNC,20201221,21.3,21.3,21.3,21.3,24
CNN,20201221,20.9,20.9,20.9,20.9,100
CSI,20201221,14.3,14.7,14.3,14.7,13500
CT6,20201221,5.5,5.5,5,5.5,10196
CTR,20201221,66,68,56.3,67,802100
CTW,20201221,13.2,13.2,13.2,13.2,100
DBH,20201221,8.3,8.3,8.3,8.3,6300
DC1,20201221,9.6,9.6,9.3,9.6,12100
DCF,20201221,10.6,13.9,10.6,13.9,5900
DCR,20201221,1.9,1.9,1.9,1.9,100
DDN,20201221,10.8,10.9,10.7,10.8,4131
DDV,20201221,7.1,7.1,7.1,7.1,1000
DHD,20201221,24,25.5,24,25.5,6000
DID,20201221,3.1,3.2,3.1,3.2,2400
DNA,20201221,16.5,16.5,16.5,16.5,100
DNW,20201221,21.5,22,21.4,22,21400
DPH,20201221,25.5,26,25.5,26,1000
DPP,20201221,15.6,15.6,15.6,15.6,100
DRI,20201221,7.7,8.6,7.5,8.6,2036249
DSC,20201221,6.3,6.3,6.3,6.3,3600
DSG,20201221,4.2,4.2,4.1,4.1,4300
DTB,20201221,8.7,8.7,8.7,8.7,100
DTC,20201221,11.5,11.8,11.5,11.8,2000
DTP,20201221,48,48,48,48,100
DVC,20201221,8.1,8.1,8,8,600
DVN,20201221,17,17.6,16.9,17.1,746661
EIC,20201221,7.9,9.2,7.9,9,2900
EIN,20201221,4.8,4.8,4.8,4.8,88
EMS,20201221,30,30.1,30,30,3000
EPH,20201221,8.4,8.6,8.4,8.6,2000
EVF,20201221,9.1,9.2,8.9,9.1,180970
FHS,20201221,31,31,30,31,200
FOC,20201221,104.6,105,104,105,1910
FOX,20201221,58.1,58.6,58,58.3,15032
FRM,20201221,26.1,26.1,22.5,22.5,1000
G36,20201221,11.6,13.5,11.2,11.6,1400878
GCB,20201221,7,7,7,7,1200
GER,20201221,7,7,7,7,100
GHC,20201221,32.1,32.5,32,32,12045
GND,20201221,24.2,25.9,24.2,25.9,900
GTH,20201221,7.3,7.3,7.3,7.3,100
HAC,20201221,5.5,6.2,5.5,6.1,23740
HAF,20201221,13.3,13.4,13.3,13.4,362
HAN,20201221,12.9,12.9,11,11.4,68000
HC3,20201221,26.5,26.5,26.5,26.5,400
HD2,20201221,6.1,6.2,6,6,17767
HD6,20201221,9.2,9.2,9.2,9.2,300
HDP,20201221,9.3,9.3,9.3,9.3,210
HEJ,20201221,29.8,29.8,29.8,29.8,100
HEM,20201221,13.6,13.6,13.6,13.6,100
HEP,20201221,9.3,9.3,9,9.1,2200
HHV,20201221,17.5,17.5,17.5,17.5,200
HIG,20201221,10.3,10.5,10.1,10.1,6600
HJC,20201221,5,5,5,5,100
HLB,20201221,110.4,110.4,110.4,110.4,100
HMS,20201221,22.4,22.4,22.4,22.4,7500
HNA,20201221,12,12.2,12,12.2,935
HND,20201221,19,19,18.6,18.8,142717
HNF,20201221,21.4,21.4,21.4,21.4,54
HNI,20201221,40,40,37,37,200
HPB,20201221,15.6,15.6,15.6,15.6,2
HPI,20201221,24.2,27.4,24.2,27.4,1210
HPP,20201221,39.2,39.2,39.2,39.2,500
HPT,20201221,9.7,9.8,9.7,9.8,1609
HRT,20201221,3.3,3.3,3.3,3.3,100
HSI,20201221,1.2,1.2,1.2,1.2,200
HTE,20201221,7,7,7,7,20700
HTM,20201221,10.9,10.9,10.8,10.8,12700
HU4,20201221,8.2,8.2,8.2,8.2,200
HU6,20201221,5.1,5.1,5.1,5.1,2000
ICF,20201221,1.7,1.9,1.7,1.9,650
ICI,20201221,3.3,3.3,3.3,3.3,6000
ICN,20201221,65,65,65,65,3481
IFS,20201221,17,17,17,17,100
ILA,20201221,3.1,3.5,3.1,3.5,25700
ILS,20201221,13.8,13.8,12,12,1600
IPA,20201221,15.2,18.5,15.2,16.8,10900
ISH,20201221,16.8,16.8,16.8,16.8,3800
ITS,20201221,3.7,3.8,3.6,3.7,16600
KCB,20201221,1.9,1.9,1.9,1.9,900
KHA,20201221,23.7,23.7,23.7,23.7,608
KLB,20201221,16.6,18.5,16.5,17,145243
KLM,20201221,9.6,9.6,9.6,9.6,200
KSH,20201221,1.1,1.1,0.9,1.1,1234844
KTC,20201221,10,10,10,10,2900
KTL,20201221,25,25,25,25,2000
LLM,20201221,20,20,19.9,20,10100
LMC,20201221,12.4,12.4,12.4,12.4,100
LTG,20201221,26.7,27.2,26.4,26.8,1101179
M10,20201221,16.9,17.1,16.8,17.1,9922
MCH,20201221,93,93,91,91.4,17510
MCM,20201221,48.3,48.3,35.7,48.3,108
MFS,20201221,26.5,27,26.5,26.7,46200
MGG,20201221,47,47,40,40,200
MH3,20201221,69,69,68.8,69,10410
MHP,20201221,12.1,12.1,12.1,12.1,1300
MIC,20201221,6.5,6.5,6.5,6.5,100
MIG,20201221,14.5,16.1,12,15.9,1699436
MKP,20201221,40.5,40.5,40.5,40.5,70
MLS,20201221,43.4,44,42,42.8,24060
MML,20201221,48,48,47.5,47.9,38636
MNB,20201221,26,26,26,26,3000
MPC,20201221,29.5,29.7,29.1,29.5,96606
MQN,20201221,36.8,37.3,36.8,37.1,10300
MSR,20201221,19,21.6,18.9,20.7,2758362
MTA,20201221,6.6,7.2,6.6,7.2,109700
MTG,20201221,3.4,3.4,3.4,3.4,1
MTH,20201221,25,25,25,25,100
MTL,20201221,5.9,5.9,5.9,5.9,100
MVC,20201221,8.8,9,8.8,9,1000
