<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NAB,20201221,14.6,14.7,14.5,14.7,188770
NAS,20201221,27,27,27,27,300
NBE,20201221,7.5,7.6,7.5,7.6,300
NCS,20201221,17.9,18.1,17.9,18,1500
ND2,20201221,28.5,29,23.9,29,6747
NED,20201221,8.6,8.7,8.5,8.5,12200
NHT,20201221,36.3,36.4,36,36.3,8920
NMK,20201221,5.8,6,5.8,6,2000
NNG,20201221,10,10,9.8,10,31600
NS2,20201221,10,10,10,10,1600
NTC,20201221,288,296,251.1,294,24320
NTW,20201221,18.5,18.5,18.2,18.3,22500
OIL,20201221,9.1,10.3,9,10.3,4881230
ORS,20201221,12.7,13,12.5,12.9,708413
PAS,20201221,14.6,14.6,14.1,14.3,129141
PCC,20201221,15.1,15.1,15.1,15.1,3
PCM,20201221,8.9,8.9,8.9,8.9,5900
PDT,20201221,12.2,12.2,12.2,12.2,100
PFL,20201221,2.3,2.5,2.3,2.5,1333510
PGV,20201221,15.6,16.8,15.6,16.7,71600
PJS,20201221,11,11,11,11,500
PND,20201221,20,20,19.8,20,19200
PNG,20201221,13,13,13,13,100
PNP,20201221,15.1,15.1,15.1,15.1,100
POS,20201221,17.3,17.6,17,17.4,177000
PPH,20201221,18.2,18.2,18.2,18.2,100
PRT,20201221,11.9,11.9,11.9,11.9,100
PSB,20201221,6.7,7.2,6.7,7.2,1552
PSL,20201221,25.1,25.1,25.1,25.1,416
PSP,20201221,7.5,7.5,7.5,7.5,2100
PVM,20201221,19.5,20.8,19.5,20.5,59600
PVO,20201221,3.5,3.6,3.2,3.6,20420
PVP,20201221,11,11,10.5,10.8,281320
PVV,20201221,0.9,1,0.9,1,286110
PWA,20201221,11.5,12,11.5,11.8,138280
PWS,20201221,11,11,11,11,100
PXL,20201221,9.8,9.9,9.7,9.9,208478
QCC,20201221,10.2,10.2,10.2,10.2,100
QHW,20201221,15.5,17,15.5,17,21800
QNC,20201221,5.3,5.3,4.9,4.9,2810
QNS,20201221,38.4,39.4,32.6,39.3,350276
QTP,20201221,11.1,11.3,11,11.2,113127
RTB,20201221,12.1,12.1,12.1,12.1,800
SAC,20201221,9.1,9.2,9,9.2,7200
SAP,20201221,14.7,14.7,14.7,14.7,100
SAS,20201221,27.3,27.8,27.3,27.5,5774
SBD,20201221,8.3,8.3,8.3,8.3,100
SBL,20201221,11,13,11,11,100
SBR,20201221,14,14,14,14,100
SBS,20201221,4,4,3.7,4,2887929
SCJ,20201221,2.8,3.2,2.7,3.2,76500
SCL,20201221,7.9,8,7.6,8,37400
SD3,20201221,3.1,3.1,3,3,4100
SD7,20201221,3,3,3,3,1500
SDD,20201221,2.3,2.6,2.3,2.5,150455
SDJ,20201221,5,5,5,5,200
SDP,20201221,1.2,1.2,1.1,1.1,11000
SDV,20201221,22.8,29.4,22.8,29.4,200
SEA,20201221,25.6,25.6,25,25.3,40883
SGB,20201221,13,13.1,12.8,13,48368
SGP,20201221,11.4,11.5,11.3,11.3,88616
SGS,20201221,17.1,17.1,17.1,17.1,300
SID,20201221,14,14,13.2,13.9,1900
SIP,20201221,190,214.8,158.8,186,164708
SKH,20201221,19.8,19.9,19.5,19.9,6000
SKN,20201221,5,5,5,5,10
SKV,20201221,21.1,21.1,21,21,11600
SNC,20201221,15,15,15,15,100
SNZ,20201221,32,33.3,32,33.3,78995
SPD,20201221,8,9,7.7,9,2500
SPV,20201221,12.5,12.5,12.5,12.5,100
SRB,20201221,1,1.1,1,1.1,3240
SRT,20201221,3.3,3.3,3.2,3.2,13000
SSG,20201221,2.2,2.2,2.2,2.2,100
SSN,20201221,5.1,5.1,4.9,4.9,42634
STH,20201221,13.5,13.6,13.5,13.5,44100
SWC,20201221,17.4,17.5,16.8,17.2,72218
SZE,20201221,13.9,14,13.6,14,39600
TBD,20201221,89,89,89,89,100
TCI,20201221,7.6,7.6,7.6,7.6,1000
TCW,20201221,25.8,25.9,25.7,25.7,28670
TDS,20201221,12.8,12.8,12.8,12.8,1400
THP,20201221,10.9,11.5,10.9,11.5,5400
TID,20201221,16,16,16,16,4500
TIS,20201221,13,13,10.5,10.5,10000
TL4,20201221,8,8.4,8,8.1,3700
TLP,20201221,9,9.6,9,9.6,14700
TOT,20201221,5.6,5.6,5.6,5.6,110
TPS,20201221,30.5,30.5,30.5,30.5,37
TR1,20201221,15.3,15.3,15.3,15.3,370
TRS,20201221,42.7,42.7,42.7,42.7,210
TRT,20201221,10,10,10,10,1
TSD,20201221,5.5,5.5,5.5,5.5,3200
TTD,20201221,54.2,54.2,54.2,54.2,100
TTN,20201221,9.6,9.7,9.6,9.7,134709
TVN,20201221,8.2,8.6,8.1,8.4,363210
TVP,20201221,29.5,29.9,29.5,29.9,209
UDJ,20201221,10.7,11.9,10.7,11,57639
VAV,20201221,44,44.8,44,44.8,1000
VBB,20201221,11.5,11.6,11.3,11.6,39224
VCA,20201221,10.9,10.9,10.7,10.9,11500
VCP,20201221,50.3,51,50,51,65900
VCR,20201221,19,19.2,18.7,18.8,273975
VCW,20201221,49.3,56,42.5,42.5,800
VCX,20201221,6.5,7.4,6.5,7.4,35710
VE9,20201221,1.6,1.7,1.6,1.7,61400
VEA,20201221,54.2,55,45.3,54.4,450967
VEC,20201221,11.4,11.5,11.2,11.5,14401
VEF,20201221,82.5,88.5,82.3,86.1,12800
VET,20201221,44,44,44,44,100
VFC,20201221,11,11,11,11,100
VFS,20201221,6.5,7.4,6.5,7.3,18200
VGG,20201221,43.5,43.5,41.3,42.5,45773
VGI,20201221,32.9,33.7,32.7,33.2,1098498
VGT,20201221,10.1,10.2,9.8,10,478201
VGV,20201221,9.7,9.7,9.7,9.7,1000
VHD,20201221,5.3,5.3,5.3,5.3,200
VHG,20201221,1.1,1.1,1,1.1,1459701
VIM,20201221,25,25,25,25,100
VIN,20201221,13.9,13.9,13.9,13.9,500
VIW,20201221,7.1,9.4,7.1,9.4,1300
VKD,20201221,41.8,41.9,41.8,41.9,5000
VLB,20201221,35.9,35.9,35.9,35.9,3800
VLC,20201221,41.1,41.6,40,41,151037
VLG,20201221,4.6,4.6,4.6,4.6,100
VMG,20201221,5.9,5.9,5.9,5.9,15500
VNA,20201221,3.7,3.9,3.7,3.8,156700
VNB,20201221,14.3,14.3,12.3,12.5,12300
VNH,20201221,1.1,1.1,1.1,1.1,225300
VNP,20201221,7.9,8,7.8,7.9,38400
VOC,20201221,23,24.1,22.9,24,793729
VPA,20201221,3.3,3.3,3.3,3.3,4220
VQC,20201221,15.9,15.9,15.9,15.9,800
VRG,20201221,25.4,25.6,25.3,25.6,358400
VSE,20201221,6,6.5,6,6.5,10200
VSN,20201221,25.7,26.3,25.7,26.3,5120
VTA,20201221,5,5,5,5,1000
VTD,20201221,10.9,11.3,10.7,11.3,164550
VTE,20201221,4.3,4.4,4.3,4.4,5900
VTK,20201221,30.5,30.5,30.2,30.3,18362
VTP,20201221,108,109.3,107.4,109.1,52395
VTR,20201221,37.5,37.5,36.7,37.3,55091
VTX,20201221,12.9,12.9,12.6,12.6,1000
VXP,20201221,26,26,26,26,1100
VXT,20201221,29.9,29.9,29.9,29.9,100
WSB,20201221,49.4,50,47,48.7,7700
X26,20201221,21.5,21.7,21.5,21.7,6600
XHC,20201221,24.1,24.1,24.1,24.1,130
XLV,20201221,9,9,9,9,100
XMC,20201221,12.3,12.4,12.1,12.1,55700
XPH,20201221,6.2,6.3,6.2,6.3,3000
YBC,20201221,12.4,13,12.4,13,22200
