<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201221,13.5,13.8,12.7,13.1,777070
ACM,20201221,1.1,1.1,1,1.1,3228446
AMV,20201221,17.9,18.4,17.7,18.4,1228841
API,20201221,9.5,9.5,9.5,9.5,4600
APP,20201221,3.4,3.4,3.4,3.4,400
APS,20201221,4.7,5,4.4,4.8,937300
ART,20201221,2.8,2.9,2.7,2.9,4812223
BAX,20201221,80,83,79.5,83,15200
BBS,20201221,11.9,11.9,11.9,11.9,1700
BCC,20201221,8.3,8.4,8.2,8.2,1053520
BCF,20201221,46.5,46.5,46.5,46.5,100
BII,20201221,2.2,2.2,2.2,2.2,2406588
BNA,20201221,34.2,34.4,33.8,34.4,132700
BTS,20201221,4.5,4.5,4.3,4.4,9292
BVS,20201221,14.4,15.3,14.2,14.8,1146822
C69,20201221,8,8.1,7.9,8,93950
C92,20201221,3.2,3.4,3.2,3.4,400
CAP,20201221,38,38,37.8,38,10340
CDN,20201221,23.7,25.9,23.1,25.5,27950
CEO,20201221,9.7,10.2,9.6,10,9288055
CET,20201221,4.2,4.2,4.1,4.2,174450
CIA,20201221,14.9,14.9,14.6,14.6,3345
CLH,20201221,21,21.9,21,21.1,7000
CMS,20201221,2.6,2.7,2.6,2.7,12200
CPC,20201221,16,16,16,16,59
CSC,20201221,22.2,25,22.1,24.4,79582
CTB,20201221,28,28,28,28,120
CTP,20201221,3.2,3.3,3.1,3.3,222900
CTT,20201221,9.9,9.9,9.4,9.4,2520
CTX,20201221,7.2,7.2,7.2,7.2,800
CVN,20201221,11,11.3,11,11.2,363910
CX8,20201221,7.8,7.8,7.8,7.8,100
D11,20201221,24.2,24.2,24,24,6900
DAD,20201221,16.9,16.9,16.9,16.9,900
DAE,20201221,15,15,15,15,1040
DC2,20201221,9.8,9.8,9.8,9.8,12210
DDG,20201221,28.5,28.6,28.4,28.5,295900
DHP,20201221,10,10,9.7,9.7,810
DHT,20201221,53.6,55,52.4,54,49800
DIH,20201221,11,11,11,11,1100
DNM,20201221,40.4,41,40,40.7,14070
DNP,20201221,17.8,17.9,17.5,17.9,24000
DP3,20201221,86,86,86,86,110
DPC,20201221,15.2,15.2,15.2,15.2,105
DS3,20201221,4.1,4.5,4.1,4.5,490110
DST,20201221,2.6,2.6,2.5,2.6,785510
DTD,20201221,28,28.3,27.8,27.9,151640
DXP,20201221,16,16.3,15.9,16,225430
DZM,20201221,4.1,4.1,4.1,4.1,30700
EID,20201221,14.7,14.9,14,14.5,24225
EVS,20201221,7.4,7.4,6.5,7.4,7503
FID,20201221,1,1.1,1,1.1,516273
GIC,20201221,19,19,18.6,19,17200
GKM,20201221,16.4,16.5,16.1,16.5,228300
GLT,20201221,19.6,20.3,19.6,20,19140
GMA,20201221,41.5,43,40.9,43,5000
GMX,20201221,24,24,23.7,23.7,4100
HAD,20201221,19,19,18.5,19,14204
HAT,20201221,24.3,24.4,23.5,24.4,10100
HBS,20201221,3.8,4,3.7,4,150853
HCC,20201221,10.5,10.8,10,10.5,20812
HCT,20201221,12.2,12.3,12.2,12.3,35300
