<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
KDH,20201210,27.6,28.5,27.5,28,3048980
KHP,20201210,6.45,6.47,6.02,6.02,386210
KMR,20201210,2.7,2.73,2.55,2.64,278060
KOS,20201210,33.3,33.3,29.5,30.35,493580
KPF,20201210,13.6,14.55,13.6,14.55,5160
KSB,20201210,28.8,29.1,27.8,27.8,2459030
L10,20201210,17.45,17.45,17.45,17.45,2530
LAF,20201210,10.1,10.15,10.1,10.15,20
LBM,20201210,32.85,33.5,32.85,33.5,32610
LCG,20201210,12.45,12.45,11.85,12,4662750
LCM,20201210,0.68,0.7,0.68,0.7,106680
FIT,20201210,10.6,10.6,10.25,10.25,1514230
FLC,20201210,4.32,4.4,4.25,4.28,7980170
FMC,20201210,36.1,36.35,35,35,643610
FPT,20201210,57,57.7,56.5,56.5,2112490
FRT,20201210,26,26,25,25,2241020
FTM,20201210,1.3,1.31,1.29,1.29,153200
FTS,20201210,13.75,13.8,13.4,13.4,595460
GAB,20201210,193.3,195,193.3,193.3,2900
GAS,20201210,86.1,86.4,84.4,84.4,1085890
GDT,20201210,38.5,38.5,38.2,38.3,20950
GEG,20201210,17.1,17.2,16.85,16.95,902430
GEX,20201210,21.05,21.1,20.45,20.45,7341520
GIL,20201210,42.4,42.85,39.55,41.9,375620
GMC,20201210,18.2,18.2,17.5,17.5,42450
GMD,20201210,29.2,30.95,29.2,30.15,10777940
GSP,20201210,11.05,11.05,10.9,10.9,4510
GTA,20201210,12.4,12.4,12,12,1330
GTN,20201210,25.7,25.9,25.1,25.15,3365890
GVR,20201210,20.4,20.8,19.9,19.95,3775710
HAG,20201210,4.82,4.95,4.74,4.74,19053680
HAH,20201210,17.65,17.65,16.8,16.9,1453980
HAI,20201210,2.77,2.82,2.71,2.72,3404370
HAP,20201210,5.97,6.04,5.9,5.9,347160
HAR,20201210,4.66,4.66,4.49,4.49,1440590
HAS,20201210,8,8.5,8,8.5,550
HAX,20201210,18.4,18.4,17.8,17.8,585630
HBC,20201210,14,14.1,13.4,13.4,11205690
HCD,20201210,2.52,2.52,2.48,2.49,106230
HCM,20201210,27,27.6,26.8,26.85,3655170
HDB,20201210,22.7,22.7,22.25,22.25,4914350
HDC,20201210,30.5,31.45,30.5,30.7,722890
HDG,20201210,31.2,32.3,30.9,31.55,2606050
HHS,20201210,4.91,4.96,4.78,4.79,3692650
HID,20201210,2.55,2.55,2.51,2.54,92020
HII,20201210,15.8,16,15.3,15.3,227740
HMC,20201210,14.9,14.95,14.9,14.9,92200
HNG,20201210,14.75,14.75,14.2,14.4,5832320
HOT,20201210,31.2,31.2,31.2,31.2,10
HPG,20201210,38.5,38.6,37.2,37.6,30402770
HPX,20201210,27.2,28.2,27.2,27.55,525410
HQC,20201210,1.7,1.73,1.66,1.66,6361670
HRC,20201210,36.95,42.3,36.95,42.3,320
HSG,20201210,20.2,20.4,19.75,19.9,15331110
HSL,20201210,5.5,5.87,5.49,5.87,317250
HT1,20201210,16.95,16.95,16.5,16.5,1807670
HTI,20201210,14.45,14.6,14.1,14.1,25800
HTL,20201210,16,17.2,16,17.2,1020
HTN,20201210,43.65,44.8,42.8,43,235720
HTV,20201210,12.7,12.8,12.6,12.75,2400
DVP,20201210,46.55,46.9,46.35,46.35,56580
DXG,20201210,15.1,15.1,14.7,14.7,7412550
DXV,20201210,3.42,3.43,3.42,3.43,2010
EIB,20201210,17.15,17.2,17.05,17.2,219660
ELC,20201210,7.68,7.68,7.3,7.3,430980
EVE,20201210,13.6,13.6,13.1,13.5,55340
EVG,20201210,6.05,6.09,5.85,5.85,761610
FCM,20201210,5.87,5.87,5.73,5.8,4140
FCN,20201210,12.2,12.3,12,12,1507870
FDC,20201210,13.1,13.7,13.05,13.55,1900
FIR,20201210,25.4,25.5,25.3,25.45,82560
CRC,20201210,18.2,18.85,18.2,18.75,392330
CRE,20201210,33.15,33.3,32.35,32.35,797160
CSM,20201210,15.9,16.4,15.9,16.2,99230
CSV,20201210,28.6,28.9,28,28.05,405350
CTD,20201210,70.8,71.3,69.1,70.5,1630900
CTF,20201210,21,21.5,20.8,21.2,80830
CTG,20201210,34.5,34.9,34,34,10188750
CTI,20201210,14.2,14.5,13.7,14,846630
CTS,20201210,10.3,10.5,9.9,9.9,1396670
CVT,20201210,41,42.5,41,41.05,126570
D2D,20201210,56.8,57.2,55.8,55.8,202380
DAG,20201210,6.91,7.08,6.89,6.9,874720
DAH,20201210,3.83,3.87,3.79,3.8,368230
DAT,20201210,30.7,33.85,30.7,33.8,7710
DBC,20201210,42.7,43.95,42.55,43.15,2905480
DBD,20201210,44.8,44.8,44.4,44.8,39120
DBT,20201210,14.25,14.25,14.25,14.25,35370
DC4,20201210,10.55,10.6,10.5,10.6,44400
DCL,20201210,19.8,20,19.6,19.65,58180
DCM,20201210,12.7,12.7,12.5,12.5,2978470
DGC,20201210,49.45,49.6,48.7,48.7,880830
DGW,20201210,76.8,77.8,75.3,76.2,297220
DHA,20201210,44.5,45,43.6,44,32070
DHC,20201210,60,60.5,59.8,60.1,320220
DHG,20201210,106.9,106.9,105.3,105.3,9170
DHM,20201210,9.72,9.72,9.66,9.66,286460
DIG,20201210,25.85,25.85,24.6,24.6,7480540
DLG,20201210,1.46,1.46,1.35,1.35,5804610
DMC,20201210,56.4,57,55.7,55.7,48890
DPG,20201210,30.1,30.4,29.35,29.35,631630
DPM,20201210,18,18.2,17.7,17.75,3549010
DPR,20201210,45,45.4,44.5,44.5,93860
DQC,20201210,15.7,16.35,15.7,16,30980
DRC,20201210,21.15,21.45,21.1,21.1,1638930
DRH,20201210,7.49,7.5,7.21,7.21,2042560
DRL,20201210,54.5,54.5,54,54,1160
DSN,20201210,47,47.2,46.75,47,11970
DTA,20201210,4.24,4.25,4.11,4.25,17430
DTL,20201210,5.59,5.59,5.59,5.59,240
DTT,20201210,13.3,13.3,13.3,13.3,10
ABS,20201210,16.3,17,15.8,16.3,369680
ACB,20201210,28.8,28.8,27.9,27.95,9233750
ACC,20201210,13.95,13.95,13.5,13.5,32300
ACL,20201210,13,13,12.75,12.75,103400
ADS,20201210,9.9,9.9,9.8,9.8,7710
AGG,20201210,30.2,30.4,29.25,29.65,1487490
AGM,20201210,12.45,12.5,12.25,12.3,20840
AGR,20201210,7.97,7.97,7.6,7.8,5499200
AMD,20201210,2.7,2.76,2.68,2.68,1963820
ANV,20201210,22.7,22.75,22.25,22.25,409270
APC,20201210,22.8,22.9,22,22,74280
APG,20201210,10.3,10.4,10,10,1277220
APH,20201210,90.4,90.5,89,89,643420
ASG,20201210,37.1,38,37.1,37.9,7660
ASM,20201210,13.3,13.5,12.7,12.7,5000490
ASP,20201210,6,6,5.86,5.89,53600
AST,20201210,56.2,56.5,55.4,55.4,97550
BBC,20201210,58,59.5,58,59.5,6000
BCE,20201210,8.7,8.7,8.54,8.54,223140
BCG,20201210,9.05,9.18,8.98,9.01,1769080
BCM,20201210,39.85,41,39.85,40.9,65380
BFC,20201210,16.4,16.4,15.9,15.9,598140
BHN,20201210,75,75,74,74,2060
BIC,20201210,20.35,20.35,20,20.35,110090
BID,20201210,43.8,44.8,43.7,43.95,3830860
BMC,20201210,10.85,10.9,10.75,10.75,30250
BMI,20201210,31.1,31.1,30.35,30.35,421340
BMP,20201210,66,66.5,64.1,65.5,205870
BRC,20201210,11.5,11.5,11.4,11.45,660
