<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
AAV,20201210,9.9,10,9.4,9.7,811306
ACM,20201210,0.9,0.9,0.7,0.7,457167
ADC,20201210,18.2,18.2,18.2,18.2,400
AME,20201210,7.3,7.3,7.3,7.3,200
AMV,20201210,17.1,17.2,16.9,16.9,328425
API,20201210,9.4,9.4,9.4,9.4,1000
APS,20201210,3.6,3.8,3.6,3.7,350151
ART,20201210,2.8,2.8,2.6,2.6,1443990
BAX,20201210,69,69.8,69,69,25200
BBS,20201210,10,10,10,10,33
BCC,20201210,7.6,7.9,7.5,7.6,1086533
BII,20201210,1.5,1.5,1.3,1.5,245746
BNA,20201210,32.8,32.9,32.6,32.8,107700
BTS,20201210,4.5,4.5,4.5,4.5,142
BTW,20201210,28,29.7,28,29.7,1200
BVS,20201210,13.2,13.2,12.6,12.8,958732
C69,20201210,7.7,7.7,7.4,7.4,81436
C92,20201210,3.3,3.3,3.2,3.2,12300
CAP,20201210,37.4,37.7,37.4,37.7,2300
CDN,20201210,25.8,25.9,25.5,25.9,1000
CEO,20201210,8,8.6,8,8.3,10119830
CET,20201210,2.5,2.5,2.5,2.5,100
CIA,20201210,14.8,15,14.4,14.4,51098
CKV,20201210,12.3,13.1,12.3,13.1,3200
CLH,20201210,20.5,20.8,20.5,20.8,5119
CMC,20201210,5.3,5.3,5.3,5.3,2500
CMS,20201210,2.6,2.7,2.6,2.7,21600
CPC,20201210,16.4,16.4,16.4,16.4,7400
CSC,20201210,21.2,21.2,20.5,20.5,3225
CTB,20201210,27.8,27.8,27.8,27.8,2400
CTP,20201210,3.4,3.5,3.3,3.3,64511
CTX,20201210,6.7,7.1,6.7,6.8,1700
CVN,20201210,11.2,11.3,10.6,10.7,460880
D11,20201210,24,25.1,24,25.1,5300
DC2,20201210,9.6,9.6,9.5,9.5,4100
DDG,20201210,28.3,28.5,28.1,28.3,109700
DHP,20201210,9.1,9.1,9.1,9.1,5000
DHT,20201210,55.6,55.6,54,55.1,13430
DIH,20201210,11.1,11.1,11,11,2500
DNC,20201210,50,50,50,50,10000
DNM,20201210,42.2,42.2,41.5,41.7,9610
DNP,20201210,17.9,18,17.9,17.9,2000
DP3,20201210,82.9,82.9,82.9,82.9,100
DS3,20201210,4.1,4.1,4,4,55200
DST,20201210,2.6,2.7,2.5,2.6,474410
DTD,20201210,27.4,27.4,26.3,26.6,157921
DXP,20201210,16.7,16.8,16.1,16.1,637150
DZM,20201210,3.4,3.4,3.3,3.3,18200
EBS,20201210,8.4,8.4,8.4,8.4,300
EID,20201210,14,15,13.7,13.7,12825
EVS,20201210,7.1,7.1,6.2,6.2,17400
FID,20201210,1.1,1.1,1,1,95000
GIC,20201210,19,19.1,19,19,22500
GKM,20201210,16.4,16.4,16.3,16.4,70000
GLT,20201210,18.7,18.9,18.7,18.8,12000
GMA,20201210,28.5,28.6,28.5,28.5,1000
HAD,20201210,17.3,17.3,17.3,17.3,1012
HAT,20201210,23.5,23.5,23.4,23.4,2500
HBS,20201210,3.1,3.1,3.1,3.1,94310
HCC,20201210,9.7,9.7,9.6,9.7,40500
HDA,20201210,8.4,8.6,8.4,8.5,52405
HEV,20201210,12.7,12.7,12.6,12.6,1300
HHC,20201210,86,86,86,86,600
HHG,20201210,1.3,1.4,1.3,1.3,82018
HHP,20201210,13.3,13.3,12.8,13,259700
HJS,20201210,33.4,33.4,33.4,33.4,400
HLC,20201210,6.7,6.7,6.7,6.7,103
HLD,20201210,27.8,27.9,25.6,27.7,152698
HMH,20201210,9.8,9.9,9.8,9.9,25500
HOM,20201210,3.2,3.3,3.1,3.2,39604
HUT,20201210,3,3,2.8,2.8,4431569
HVT,20201210,31,31,31,31,100
ICG,20201210,6.7,6.7,6.7,6.7,110
IDC,20201210,33.3,33.6,32.6,32.6,1158450
IDJ,20201210,14.5,14.7,14.2,14.2,169047
IDV,20201210,56.8,57.2,56.7,56.9,10432
INN,20201210,32.6,34.9,31.3,31.4,19600
ITQ,20201210,2.3,2.4,2.3,2.3,149440
IVS,20201210,6.3,6.3,6,6,17400
KDM,20201210,2,2,2,2,100
KHS,20201210,14,14.7,14,14.7,6200
KKC,20201210,7.9,7.9,7,7,3300
KLF,20201210,1.9,1.9,1.7,1.8,3251765
KSD,20201210,4.7,4.7,4.7,4.7,300
KSQ,20201210,1.5,1.6,1.5,1.6,3400
KTS,20201210,13.7,13.7,13.7,13.7,2600
KTT,20201210,3.3,3.3,3.3,3.3,600
KVC,20201210,1.1,1.2,1.1,1.1,986110
L14,20201210,52.6,52.9,51.9,51.9,67047
L61,20201210,6.8,6.8,6.8,6.8,700
LAS,20201210,7.5,7.7,7.4,7.5,336510
LCS,20201210,1.9,1.9,1.9,1.9,3100
LDP,20201210,12.6,12.6,12.6,12.6,100
LHC,20201210,44.3,44.3,44.2,44.2,7300
LIG,20201210,5.5,5.7,5.3,5.4,623489
LM7,20201210,3.5,3.5,3.5,3.5,10079
LUT,20201210,3.3,3.3,2.8,3.3,171080
MAS,20201210,35.2,36,35.2,36,3900
MBG,20201210,5.2,5.3,5.1,5.1,474375
MBS,20201210,13.8,14,13.2,13.2,307240
MCF,20201210,8.3,8.7,8.3,8.7,4010
MCO,20201210,1.9,1.9,1.9,1.9,12100
MDC,20201210,6.5,7.1,6.5,7.1,3200
MHL,20201210,3.1,3.1,3.1,3.1,100
MPT,20201210,1.7,1.8,1.6,1.7,70700
MST,20201210,4.6,4.7,4.5,4.5,536560
MVB,20201210,12.2,12.2,12.2,12.2,120
NAG,20201210,4.4,4.5,4.4,4.5,46700
NBC,20201210,5.4,5.4,5.3,5.4,6503
NBP,20201210,11.1,12.3,11.1,12.3,500
NDN,20201210,20.2,20.2,19.7,19.9,755235
NDX,20201210,8.6,8.6,8.5,8.5,9700
NET,20201210,59,59,59,59,100
NGC,20201210,2.4,2.4,2.3,2.3,8800
NHA,20201210,16.5,17.5,16.3,16.8,171689
NRC,20201210,13.4,13.4,13,13.2,121662
NSH,20201210,5,5,4.7,4.7,106000
NST,20201210,7.5,7.5,7.1,7.1,1210
NTP,20201210,36.8,36.9,36.5,36.5,92906
NVB,20201210,8.3,8.5,8.3,8.4,2644793
OCH,20201210,10.4,10.4,10.4,10.4,100
