<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
A32,20201218,30,30,30,30,100
AAS,20201218,5.7,5.7,5.5,5.7,882251
ABC,20201218,17.7,17.7,17.4,17.4,18510
ABI,20201218,36.6,41.8,36.5,37.3,24230
ACE,20201218,28.7,32,28.7,32,3000
ACV,20201218,77.2,79,77.2,78,373429
ADG,20201218,61.8,63.9,61.8,63.5,139521
ADP,20201218,24,24,24,24,39
AFX,20201218,12.3,12.4,12.1,12.2,60771
AG1,20201218,10,10,9.8,10,2400
AGF,20201218,6,6,4.9,5.9,4711
AGP,20201218,14.6,14.6,14.4,14.4,5000
AGX,20201218,31.5,31.5,31.5,31.5,3800
ALV,20201218,1.7,1.7,1.7,1.7,3200
AMS,20201218,10.6,10.6,10.3,10.3,6080
APF,20201218,37,37,37,37,14520
ASA,20201218,1.2,1.2,1.1,1.1,83000
ATA,20201218,0.3,0.3,0.2,0.3,456100
ATB,20201218,0.7,0.8,0.7,0.8,116900
AVF,20201218,0.2,0.3,0.2,0.2,1407000
B82,20201218,0.6,0.6,0.6,0.6,200
BAB,20201218,18,18,18,18,2400
BAL,20201218,7.6,7.6,7.6,7.6,1200
BBT,20201218,17.9,17.9,17.9,17.9,10
BDG,20201218,44.2,44.2,41.5,41.5,17448
BDT,20201218,24,24,23.5,23.5,4230
BHP,20201218,6.7,6.7,6.7,6.7,300
BHT,20201218,5.9,5.9,5.9,5.9,100
BHV,20201218,4.6,4.6,4.6,4.6,300
BKH,20201218,22.7,22.7,22.7,22.7,100
BLI,20201218,8.9,8.9,7.6,8.6,3600
BOT,20201218,52.6,52.7,52.5,52.7,10600
BSG,20201218,8.7,8.7,8.7,8.7,6400
BSL,20201218,9.6,10,9.6,10,500
BSP,20201218,17.1,17.1,17.1,17.1,200
BSQ,20201218,19,19,19,19,2200
BSR,20201218,8.8,9.4,8.8,9.2,6193985
BT6,20201218,1.4,1.4,1.4,1.4,105
BTD,20201218,22,22.3,22,22.3,25900
BTG,20201218,5.8,5.8,5.8,5.8,48
BTV,20201218,12.1,12.1,12.1,12.1,100
BUD,20201218,7.8,7.8,7.3,7.3,1100
BVB,20201218,13.3,13.5,13.3,13.4,1432778
BVG,20201218,1.7,1.8,1.7,1.7,4310
BWS,20201218,35,35,33,35,3100
C21,20201218,14.9,14.9,14.9,14.9,103
C4G,20201218,10,10.1,9.9,10,1061123
CAD,20201218,0.3,0.5,0.3,0.5,22300
CAT,20201218,14.5,14.5,14.5,14.5,1400
CBS,20201218,7.3,7.3,7.3,7.3,11800
CC1,20201218,24,25.7,20.7,24,3000
CC4,20201218,8.9,8.9,8.9,8.9,100
CCR,20201218,14.6,14.6,14.6,14.6,100
CDO,20201218,0.9,1,0.8,0.9,173300
CDP,20201218,10.2,10.2,10.2,10.2,100
CEN,20201218,6.7,6.7,6.5,6.6,25600
CGV,20201218,4.4,4.4,4.4,4.4,400
CHS,20201218,12.4,12.4,12.4,12.4,200
CI5,20201218,3.6,3.7,3.6,3.7,2100
CKD,20201218,20.5,20.9,20.5,20.9,1000
CLX,20201218,16.7,17.5,16.7,17.5,27100
CMI,20201218,1,1,1,1,9500
CMN,20201218,52.5,52.5,52.5,52.5,410
CMT,20201218,7.6,7.6,7.6,7.6,100
CNC,20201218,22,22,21,21.5,600
CNT,20201218,10,10,7.5,9.7,25009
CPI,20201218,1.3,1.5,1.3,1.5,700
CQN,20201218,17.6,17.6,17.6,17.6,100
CSI,20201218,14.1,14.4,14.1,14.4,300
CT3,20201218,6.4,6.4,6.4,6.4,100
CT6,20201218,5.5,5.6,5,5.5,7980
CTN,20201218,0.4,0.5,0.4,0.5,10290
CTR,20201218,65.2,66.9,55,65.9,424948
CYC,20201218,0.9,0.9,0.9,0.9,300
DAS,20201218,13.7,13.7,13.7,13.7,17
DC1,20201218,9.5,9.6,9.5,9.6,4200
DCF,20201218,11.7,12.5,11.7,12.5,800
DCS,20201218,0.5,0.6,0.5,0.6,589412
DCT,20201218,0.9,0.9,0.9,0.9,3700
DDM,20201218,1.3,1.3,1.1,1.3,5820
DDN,20201218,10.9,10.9,10.5,10.8,4900
DDV,20201218,6.5,6.5,6.5,6.5,6000
DHD,20201218,24.4,24.4,24.4,24.4,600
DIC,20201218,1,1,0.8,0.9,302258
DND,20201218,25.5,25.5,25.5,25.5,300
DNE,20201218,10,10,10,10,600
DNW,20201218,20.5,21.5,20.5,21.5,61000
DNY,20201218,1.8,1.8,1.8,1.8,600
DOP,20201218,9.4,9.4,9.4,9.4,100
DP1,20201218,14.3,14.3,14.3,14.3,100
DP2,20201218,5.5,5.5,5.1,5.1,12100
DPH,20201218,25.2,25.3,25.2,25.3,2700
DRI,20201218,7.4,7.7,7.4,7.6,566814
DSG,20201218,4.1,4.2,4.1,4.1,1800
DSP,20201218,9.1,9.1,9.1,9.1,100
DSV,20201218,10,10,10,10,95
DTB,20201218,7.6,8.6,7.6,8.6,1100
DTC,20201218,13.4,13.9,11.3,13.8,5400
DTP,20201218,46,46,46,46,300
DVC,20201218,8.9,8.9,8,8,210600
DVN,20201218,17.3,17.3,17,17.1,701902
EFI,20201218,2.3,2.3,1.7,1.7,3800
EIC,20201218,8,8,8,8,500
EIN,20201218,4.6,4.8,4.6,4.8,4120
EMS,20201218,30,30,30,30,2600
EVF,20201218,9.2,9.2,9,9.1,76965
FDG,20201218,0.8,0.8,0.8,0.8,100
FOC,20201218,104.6,104.6,104.6,104.6,100
FOX,20201218,58,58.1,49.3,58,60291
FRM,20201218,26,26.2,26,26.1,480000
G20,20201218,0.3,0.3,0.3,0.3,14500
G36,20201218,12,13.8,10.2,11.4,840313
GCB,20201218,7.7,7.7,7.7,7.7,100
GGG,20201218,1.1,1.1,0.9,0.9,7934
GHC,20201218,33.3,35,31.4,32,21350
GND,20201218,26.3,26.3,26.3,26.3,100
GTT,20201218,0.4,0.4,0.3,0.3,14500
GVT,20201218,51.7,51.7,51.7,51.7,100
HAC,20201218,5.4,5.6,5.4,5.4,23507
HAN,20201218,13.1,13.5,12.1,12.5,42800
HC3,20201218,26.3,26.3,26.3,26.3,400
HD2,20201218,5.9,6.3,5.8,6.1,109200
HD6,20201218,8.3,8.3,8,8,6800
HDM,20201218,14,14,14,14,8200
HDO,20201218,0.3,0.3,0.3,0.3,32828
HEC,20201218,54,54,54,54,100
HEJ,20201218,26.1,26.1,26.1,26.1,100
HEM,20201218,12.8,14.5,12.8,13.8,2200
HHV,20201218,17.5,17.5,17.5,17.5,900
HIG,20201218,10.3,10.3,10.3,10.3,100
HIZ,20201218,23.8,23.8,23.8,23.8,100
HKC,20201218,36.9,36.9,32,32,200
HKP,20201218,4.8,4.9,4.8,4.9,300
HLA,20201218,0.3,0.3,0.2,0.3,93400
HLB,20201218,96,96,96,96,100
HMS,20201218,22,22.2,22,22,11900
HNA,20201218,12,12,12,12,690
HND,20201218,18.8,18.9,18.7,18.9,39932
HNI,20201218,34.5,34.9,34.5,34.9,3100
HNM,20201218,4.6,4.6,4.3,4.3,35920
HPB,20201218,15.6,15.6,15.6,15.6,2000
HPD,20201218,17.5,17.5,17.5,17.5,2000
HPI,20201218,23.9,23.9,23.9,23.9,2100
HPP,20201218,39,39.5,39,39.5,600
HPT,20201218,9.8,9.8,9.8,9.8,10
HPW,20201218,13.2,13.2,13.2,13.2,100
HSA,20201218,44.2,44.2,44.2,44.2,100
HSI,20201218,1.1,1.1,1.1,1.1,3700
HTG,20201218,18.6,18.6,18.6,18.6,40
HTM,20201218,10.8,11.1,10.8,10.8,13500
HTT,20201218,0.8,0.8,0.7,0.7,100110
HU4,20201218,8.2,8.6,8.1,8.6,6600
HU6,20201218,5.9,5.9,5.6,5.6,2600
HVA,20201218,3.6,3.8,3.4,3.8,10210
HVG,20201218,4.4,4.7,4.2,4.7,1849508
HWS,20201218,11.5,11.5,11.5,11.5,6100
ICF,20201218,2,2,2,2,2100
ICI,20201218,3.2,3.2,3.2,3.2,1010
ICN,20201218,61.9,64.9,61.9,63.7,1140
IFS,20201218,17.2,17.3,17.2,17.3,700
ILA,20201218,3,3.2,3,3.1,12100
ILS,20201218,13.5,13.5,12.2,12.2,400
IPA,20201218,18,18,17.1,17.5,1100
IST,20201218,22,22,22,22,500
ITS,20201218,3.6,3.8,3.6,3.6,4500
KHA,20201218,23.6,24,23.6,24,354
KHB,20201218,0.8,0.8,0.7,0.8,308990
KLB,20201218,15.5,16.9,15.2,16.9,122157
KSH,20201218,1.1,1.1,0.9,1.1,1249530
KSK,20201218,0.3,0.3,0.2,0.3,136100
L44,20201218,1.3,1.3,1.3,1.3,600
LGM,20201218,12.5,13.8,12.5,13.8,2600
LKW,20201218,27.5,27.5,27.5,27.5,200
LLM,20201218,20,20,20,20,10000
LM3,20201218,1.1,1.1,1.1,1.1,4100
LMC,20201218,10.8,10.8,10.8,10.8,1100
LMH,20201218,1.3,1.4,1.3,1.4,866060
LTC,20201218,2.9,2.9,2.9,2.9,100
LTG,20201218,26.4,27,26.1,27,1112530
M10,20201218,16.9,16.9,16.8,16.9,11835
MCH,20201218,93.5,93.5,91,91.8,68751
MCM,20201218,42,42,42,42,100
MEC,20201218,2.7,2.7,2.1,2.1,47706
MFS,20201218,27,27,26.7,26.9,20200
MGG,20201218,47.5,47.5,39,39,200
MH3,20201218,70.4,70.4,68.9,69.5,11670
MIG,20201218,13.3,14.5,13.3,14.3,825169
MKP,20201218,40.5,40.5,40.5,40.5,1000
MLS,20201218,44.4,44.4,40.1,43,57800
MML,20201218,47.9,47.9,47.5,47.7,18025
MPC,20201218,29.5,29.8,29.1,29.6,107702
MQN,20201218,36.8,37,36.8,36.8,800
MSR,20201218,17.8,19.6,17.8,19.1,2779369
MTA,20201218,6.4,6.5,6.1,6.5,108500
MTG,20201218,3.4,3.4,3.4,3.4,6600
MTL,20201218,5.2,5.2,5.2,5.2,100
MVC,20201218,8.8,8.8,8.8,8.8,100
MVY,20201218,23.3,23.3,23.3,23.3,1
NAB,20201218,14.5,16.7,14.5,14.6,86293
NAS,20201218,27,27,27,27,300
NCS,20201218,18,18,17.6,17.6,3500
ND2,20201218,28.1,28.1,28.1,28.1,100
NDC,20201218,58.9,58.9,58.9,58.9,700
NDF,20201218,0.5,0.6,0.5,0.5,72300
NED,20201218,8.6,8.6,8.6,8.6,500
NHT,20201218,36.4,36.4,36.2,36.3,3400
NMK,20201218,5.8,5.9,5.8,5.9,2500
NNG,20201218,10.5,10.5,10.5,10.5,100
NOS,20201218,0.2,0.2,0.2,0.2,100
NTB,20201218,0.3,0.3,0.2,0.3,30000
NTC,20201218,300,308.8,251.6,293,46926
NUE,20201218,8.7,8.7,8.7,8.7,100
OIL,20201218,9,10.3,8.9,9.1,2040198
ORS,20201218,11.9,13.1,11.9,13,641400
PAS,20201218,14.7,14.9,14.6,14.9,542700
PCC,20201218,15.1,15.1,15.1,15.1,526
PCM,20201218,9,9,8.8,8.8,3114
PDT,20201218,10.7,10.7,10.7,10.7,100
PEG,20201218,8.4,8.4,8.4,8.4,100
PFL,20201218,2.2,2.3,2,2.3,1658880
PGV,20201218,15.5,15.8,15.4,15.8,19017
PHH,20201218,9.6,9.6,9.6,9.6,14200
PIV,20201218,0.4,0.5,0.4,0.5,9400
PLA,20201218,3.2,3.2,3.2,3.2,30
PMJ,20201218,19.5,19.5,19.5,19.5,4500
PND,20201218,17.4,17.4,17,17.4,10788
POS,20201218,17.2,18.2,17.1,17.3,28800
PPH,20201218,17.9,17.9,17.9,17.9,100
PPI,20201218,0.5,0.6,0.5,0.6,621300
PRT,20201218,11.9,11.9,11.9,11.9,600
PSB,20201218,7.5,8,7.4,7.5,8781
PSG,20201218,0.5,0.5,0.4,0.5,51520
PSL,20201218,24.5,25.5,24.5,25.5,7119
PSP,20201218,7.5,7.6,7.5,7.6,4600
PTE,20201218,2,2,2,2,5100
PTV,20201218,4.3,4.3,4.3,4.3,50
PVA,20201218,0.4,0.4,0.3,0.4,122260
PVE,20201218,1.6,1.6,1.5,1.5,23200
PVH,20201218,1,1,1,1,100
PVM,20201218,18.8,19.1,18.6,19.1,74208
PVO,20201218,3.4,3.5,3.4,3.5,8400
PVP,20201218,11,11.2,10.9,10.9,189764
PVR,20201218,1.5,1.5,1.3,1.3,11064
PVV,20201218,0.9,1,0.9,0.9,266100
PVX,20201218,1.6,1.6,1.3,1.5,5911944
PVY,20201218,1.6,1.8,1.6,1.7,20062
PWA,20201218,11.8,11.8,11.3,11.5,342619
PWS,20201218,11,11,11,11,100
PXA,20201218,1.7,1.7,1.6,1.6,6300
PXL,20201218,9.7,9.8,9.6,9.8,144007
PXM,20201218,0.3,0.4,0.3,0.4,20315
QHW,20201218,15.5,15.5,15.5,15.5,3600
QNC,20201218,4.8,5,4.8,4.9,8370
QNS,20201218,38.1,38.4,38.1,38.2,156278
QPH,20201218,21,21,21,21,2000
QTP,20201218,11,11.1,11,11,153604
RCD,20201218,6.5,6.7,6.3,6.7,24000
RTS,20201218,18.9,19.2,18.9,18.9,3183
S12,20201218,0.3,0.3,0.3,0.3,1300
S27,20201218,4.6,4.6,4.6,4.6,100
S96,20201218,0.4,0.5,0.4,0.5,64300
SAC,20201218,9.2,9.2,9.2,9.2,4800
SAS,20201218,27.4,27.4,27.3,27.3,3673
SBD,20201218,9.3,9.3,9.3,9.3,100
SBL,20201218,12,12,12,12,300
SBS,20201218,3.5,3.6,3.2,3.6,1821330
SCC,20201218,2.2,2.2,2.2,2.2,2000
SCJ,20201218,3,3.3,2.9,3.1,52300
SCL,20201218,8,8,8,8,100
SD3,20201218,3,3,3,3,19100
SD7,20201218,3,3,3,3,3000
SDD,20201218,2.3,2.3,2.2,2.3,88723
SDH,20201218,0.5,0.7,0.5,0.6,144719
SDK,20201218,27.7,27.7,27.7,27.7,2800
SDP,20201218,1.1,1.1,1.1,1.1,30600
SDV,20201218,26,26,26,26,100
SDX,20201218,3.1,3.1,3.1,3.1,600
SEA,20201218,25.9,25.9,25.5,25.6,38274
SGB,20201218,12.9,13,12.8,13,21970
SGO,20201218,0.4,0.4,0.2,0.4,56700
SGP,20201218,11,11.6,11,11.5,74200
SHC,20201218,6.6,6.6,6.5,6.5,500
SID,20201218,13.2,13.7,13,13,4320
SIP,20201218,178.5,190,174.2,187,136482
SJG,20201218,6,6,5.7,5.7,5400
SJM,20201218,2.7,2.7,2.7,2.7,500
SKH,20201218,19.8,20,19.8,19.8,15111
SKV,20201218,21,21.1,21,21.1,10900
SNC,20201218,15,15,15,15,6400
SNZ,20201218,31.5,32.2,31.4,32,27012
SP2,20201218,10,10,10,10,10000
SPP,20201218,0.4,0.4,0.3,0.3,228600
SPV,20201218,14.6,14.6,13.8,13.8,435
SRB,20201218,1,1,1,1,11410
SSN,20201218,4.8,5.1,4.8,5.1,45710
STH,20201218,13.6,13.6,13.5,13.5,32500
STL,20201218,1.1,1.3,1.1,1.3,2000
STT,20201218,2,2,1.9,1.9,12600
SWC,20201218,16.8,18,16.8,17.4,66348
SZE,20201218,14,14,13.5,14,17289
TBD,20201218,82.5,82.5,82.5,82.5,20
TBT,20201218,8.6,8.6,8.6,8.6,200
TCI,20201218,8.2,8.5,6.7,6.7,3500
TCJ,20201218,4,4,4,4,3600
TCW,20201218,25.8,25.9,25.5,25.8,35388
TDS,20201218,13,13,12.8,12.8,1600
TGP,20201218,3.8,3.8,3.8,3.8,50100
THW,20201218,13.2,13.2,13.2,13.2,1000
TID,20201218,15.8,16,15.8,16,1300
TIE,20201218,5.1,5.1,5.1,5.1,720
TIS,20201218,10.2,11.7,10.2,10.7,4500
TL4,20201218,8.1,8.1,8.1,8.1,100
TLP,20201218,8.8,11.2,8.8,10,30500
TNM,20201218,2.7,2.7,2.7,2.7,2002
TNS,20201218,2.3,2.5,2.3,2.5,21600
TOP,20201218,0.4,0.4,0.3,0.4,594600
TOT,20201218,5,5,5,5,847
TOW,20201218,19,19,19,19,2100
TR1,20201218,18,18,18,18,10
TTN,20201218,9.5,9.7,9.5,9.6,25750
TV1,20201218,12,12,12,12,100
TVN,20201218,8.3,8.3,8.1,8.2,151743
TVP,20201218,34.6,34.6,34.6,34.6,400
UDJ,20201218,10.6,10.9,10.5,10.9,36602
USD,20201218,10.6,10.6,10.6,10.6,300
V11,20201218,0.2,0.2,0.2,0.2,18500
V15,20201218,0.2,0.3,0.2,0.2,1700
VBB,20201218,11.4,11.5,11.4,11.5,500
VC5,20201218,0.7,0.7,0.7,0.7,5100
VCA,20201218,11,11.1,11,11,10100
VCP,20201218,50,50.8,49.5,50.6,67510
VCR,20201218,18.9,21.6,18.8,18.9,149350
VCW,20201218,43,49.3,43,49.2,1001240
VCX,20201218,6.5,6.5,6.5,6.5,100
VDN,20201218,13.5,13.5,13.5,13.5,100
VE9,20201218,1.4,1.6,1.4,1.6,294010
