<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
FUCVREIT,20201218,6,6,5.71,5.71,260
VNE,20201218,5.4,5.5,5.3,5.41,130570
VNG,20201218,15.35,15.4,15.1,15.3,180930
VNL,20201218,16.9,17,16.5,17,5180
VNM,20201218,110.5,111,110,110.4,3342900
VNS,20201218,10.9,11,10.9,11,150
VOS,20201218,2.16,2.16,2.07,2.1,1227400
VPB,20201218,30.2,31.65,30,31.65,9700790
VPD,20201218,14.3,14.5,14.3,14.4,26740
VPG,20201218,17.1,17.85,16.8,17.85,1605650
VPH,20201218,4.48,4.5,4.4,4.48,90410
VPI,20201218,33.1,33.2,32.9,33.15,1010170
VPS,20201218,13,13.95,13,13.4,9670
VRC,20201218,7.39,7.6,7.3,7.6,299230
VRE,20201218,29.75,30.35,29.65,30.15,11949250
VSC,20201218,54.6,54.7,53.8,54.6,195110
VSH,20201218,18.5,18.65,18.45,18.5,136810
VSI,20201218,16.9,16.9,16.9,16.9,430
VTB,20201218,11.2,11.3,11.1,11.2,7610
VTO,20201218,7.83,8,7.6,7.7,20560
YBM,20201218,5.4,5.59,5.4,5.5,24850
YEG,20201218,45.5,46.3,45.5,45.7,10900
UDC,20201218,5.08,5.15,5.01,5.15,57250
UIC,20201218,43.6,47.35,43.6,47.35,1880
VAF,20201218,12.45,12.45,10.9,11.8,300
VCB,20201218,96,98.9,96,98.9,1053200
VCF,20201218,220,220,220,220,80
VCI,20201218,44.9,46.95,44,46.95,2493590
VDP,20201218,32.45,32.45,32.4,32.4,2560
VDS,20201218,9,10,9,10,32080
VFG,20201218,46.8,46.85,46.8,46.85,260
VGC,20201218,25.5,25.9,25.5,25.6,192300
VHC,20201218,44.05,44.4,41.7,42.45,2772350
VHM,20201218,84.7,86,84.6,85.3,3038890
VIB,20201218,33,33.4,32.65,33.2,585030
VIC,20201218,104.7,106.1,104.5,104.7,1350780
VID,20201218,9.4,9.4,8.78,8.78,9160
VIP,20201218,8.35,8.5,8.35,8.44,352090
VIS,20201218,17.8,17.8,17.1,17.1,440
VJC,20201218,124.4,126.5,124.4,125,832310
VND,20201218,22.9,24.15,22.6,24.15,2673400
TNA,20201218,13.1,13.25,13.1,13.2,110280
TNI,20201218,2.95,2.98,2.93,2.97,557100
TNT,20201218,1.71,1.86,1.71,1.86,613260
TPB,20201218,23.95,24.95,23.55,24.9,3473990
TPC,20201218,8.99,9,8.99,9,2000
TRA,20201218,69.4,69.4,68.5,69,6090
TRC,20201218,34.5,35.8,34.5,35.8,156610
TS4,20201218,3.42,3.42,3.4,3.4,15950
TSC,20201218,3.03,3.08,3,3.05,692300
TTA,20201218,17.25,17.9,17.1,17.9,1639110
TTB,20201218,4.68,4.94,4.68,4.94,4086530
TTF,20201218,5.7,5.7,5.6,5.6,3360350
TV2,20201218,51.8,54.4,51.8,54.1,604220
TVB,20201218,12.7,12.8,12.4,12.65,421850
TVS,20201218,12.2,12.2,11.8,12,14130
TVT,20201218,24.95,24.95,23.4,24.9,5170
TYA,20201218,14.4,14.55,14.35,14.55,67730
SZC,20201218,31.15,32.5,30.95,32.3,1787730
SZL,20201218,56.3,56.6,56.1,56.4,22560
TAC,20201218,47.3,47.4,47.2,47.4,41980
TBC,20201218,24.8,24.9,24.7,24.8,13270
TCB,20201218,28.5,29.25,28.5,29.2,15252570
TCD,20201218,11,11.3,10.25,10.9,2410
TCH,20201218,19.25,19.4,19.15,19.3,5683010
TCL,20201218,28.9,28.9,28.5,28.55,186570
TCM,20201218,51.5,51.5,48.7,48.7,1760530
TCO,20201218,10.5,10.5,10.5,10.5,460
TCR,20201218,3.7,3.7,3.47,3.47,120
TCT,20201218,28.5,29.5,28.5,29.5,76730
TDC,20201218,11.3,11.5,10.85,11.35,1799760
TDG,20201218,2.69,2.69,2.5,2.61,865590
TDH,20201218,8.9,9,8.77,8.78,4517260
