<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SRA,20201218,10.2,10.6,10.1,10.5,669461
STC,20201218,15,15,15,15,800
STP,20201218,6.9,7.1,6.8,7.1,458
SVN,20201218,1.9,1.9,1.9,1.9,52300
SZB,20201218,34.8,34.9,34.4,34.5,53810
TA9,20201218,10.6,10.6,10.3,10.3,9630
TAR,20201218,21.9,21.9,21.4,21.6,1309058
TC6,20201218,4.5,4.7,4.5,4.7,42510
TDN,20201218,7.5,7.7,7.5,7.6,84800
TDT,20201218,13.5,13.6,13,13.6,138100
TFC,20201218,4.9,5.5,4.9,5.5,200
THB,20201218,9.2,9.6,9,9.6,6202
THD,20201218,68,74.8,61.5,74.8,479795
THT,20201218,7.5,7.6,7.4,7.6,6200
TIG,20201218,6.3,6.4,6.2,6.4,1263730
TJC,20201218,13,15,12.4,15,101780
TKC,20201218,4.8,5.4,4.8,4.9,30015
TKU,20201218,10.7,10.7,10.7,10.7,1000
TMB,20201218,16.2,16.2,16.2,16.2,7600
TNG,20201218,15.8,16.1,15.8,16,1438719
TTC,20201218,13.2,13.2,13.2,13.2,300
TTH,20201218,1.8,1.9,1.8,1.9,537311
TTL,20201218,7.9,7.9,6.8,6.8,7100
TTT,20201218,33.3,33.4,33.3,33.4,2200
TTZ,20201218,3.4,3.6,3.4,3.5,15200
TV3,20201218,25.5,25.5,25.5,25.5,26
TV4,20201218,13,13,13,13,200
TVC,20201218,12,12,11.8,12,555331
TVD,20201218,7.1,7.8,6.8,7.3,68960
TXM,20201218,5.3,5.5,5.1,5.2,68606
UNI,20201218,8,8.5,8,8.5,139942
V21,20201218,3.7,4.1,3.7,4.1,24380
VBC,20201218,18.5,18.5,17.6,18.5,7500
VC1,20201218,8.4,8.4,8.4,8.4,100
VC3,20201218,16.7,16.8,16.7,16.8,196100
VC6,20201218,7.9,7.9,7.9,7.9,100
VC7,20201218,4.5,4.9,4.5,4.9,34777
VC9,20201218,4.8,4.9,4.7,4.7,6300
VCG,20201218,44,44.3,43.5,43.8,1358539
VCS,20201218,81.2,81.5,80.5,81.5,169919
VE1,20201218,4.2,4.3,4.2,4.2,22700
VE3,20201218,6.1,6.1,6.1,6.1,100
VE4,20201218,11,11,11,11,900
VGS,20201218,13.6,13.7,13.1,13.1,82480
VHE,20201218,3.7,3.8,3.6,3.8,45900
VIF,20201218,17.8,17.8,17.8,17.8,100
VIG,20201218,1.6,1.6,1.6,1.6,2471843
VIT,20201218,15.5,15.7,15.5,15.7,21171
VIX,20201218,20.6,22.5,20.4,22.5,4593334
VKC,20201218,4.6,4.7,4.6,4.7,22700
VMC,20201218,10.3,10.4,10.2,10.2,14516
VMS,20201218,6.9,6.9,6.9,6.9,100
VNC,20201218,34.2,34.2,34.2,34.2,100
VNR,20201218,19.3,19.5,19,19.5,4212
VNT,20201218,63,63,63,63,200
VSM,20201218,14.9,14.9,14.8,14.9,34700
VTC,20201218,8.8,8.8,8.8,8.8,500
VTH,20201218,9.4,9.4,9.4,9.4,100
VTV,20201218,5.6,5.7,5.6,5.7,2740
VXB,20201218,6.9,6.9,6.9,6.9,100
WCS,20201218,207,209,207,209,1631
WSS,20201218,3.3,3.3,3,3.1,158000
X20,20201218,8,8,8,8,100
